Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
24.529411,10.997955,49.0,11.0,24.529411764705884,23.704142,13.21493,80.0,9.0,23.70414201183432,-0.0046698530204594135,4006,1.0618114471435547,23.704142,0
33.416668,16.474516,75.0,13.0,33.416666666666664,30.67939,15.553045,96.0,10.0,30.6793893129771,-0.000940025201998651,8025,2.3643646240234375,,1
46.22222,28.228348,114.0,22.0,46.22222222222222,40.23,20.87144,98.0,11.0,40.23,-0.015344188548624516,12048,3.4245779514312744,,2
56.5,34.04776,138.0,27.0,56.5,45.202248,23.421001,134.0,11.0,45.20224719101124,-0.014353161677718163,16071,4.490634441375732,,3
57.285713,14.723299,90.0,39.0,57.285714285714285,57.24286,33.085793,200.0,18.0,57.24285714285714,-0.012427914887666702,20078,5.554100751876831,,4
88.4,17.304335,121.0,72.0,88.4,67.2,25.499542,128.0,19.0,67.2,-0.007270979695022106,24110,6.605988025665283,,5
86.8,30.714167,116.0,44.0,86.8,75.69811,32.493008,192.0,26.0,75.69811320754717,-0.005824911408126354,28122,7.664424896240234,,6
84.6,38.58808,135.0,40.0,84.6,75.35185,23.19176,138.0,38.0,75.35185185185185,-0.011585613712668419,32191,8.734350204467773,,7
104.25,21.913181,138.0,82.0,104.25,82.16327,31.348825,198.0,37.0,82.16326530612245,0.0016719240229576826,36217,9.801270723342896,,8
100.0,34.44561,139.0,45.0,100.0,101.35,44.15119,200.0,48.0,101.35,-0.011362187564373016,40271,10.843202352523804,,9
119.0,27.667671,160.0,89.0,119.0,102.375,34.031372,200.0,43.0,102.375,-0.008433575741946697,44366,11.941147327423096,,10
103.5,20.994047,134.0,76.0,103.5,115.37143,38.807278,200.0,59.0,115.37142857142857,0.006255903281271458,48404,13.014212369918823,,11
168.33333,24.280766,200.0,141.0,168.33333333333334,132.32259,37.130447,200.0,62.0,132.32258064516128,0.003521394683048129,52506,14.109796047210693,,12
181.66667,25.927248,200.0,145.0,181.66666666666666,168.20833,30.554567,200.0,96.0,168.20833333333334,0.0016558467177674174,56543,15.197011709213257,,13
184.0,22.627417,200.0,152.0,184.0,176.30435,29.483135,200.0,106.0,176.30434782608697,-0.012543066404759884,60598,16.28362488746643,,14
177.0,26.41969,200.0,140.0,177.0,182.90909,24.263533,200.0,119.0,182.9090909090909,0.0007041521021164954,64622,17.355965852737427,,15
177.0,32.526913,200.0,131.0,177.0,169.875,30.40876,200.0,112.0,169.875,-0.008810343220829964,68699,18.45700979232788,,16
200.0,0.0,200.0,200.0,200.0,174.78261,31.62409,200.0,107.0,174.7826086956522,-0.014819676987826824,72719,19.50333070755005,,17
200.0,0.0,200.0,200.0,200.0,188.45454,23.340813,200.0,133.0,188.45454545454547,-0.004592600278556347,76865,20.584397792816162,,18
187.66667,8.806563,200.0,180.0,187.66666666666666,200.0,0.0,200.0,200.0,200.0,-0.0,80865,21.68018078804016,,19
200.0,0.0,200.0,200.0,200.0,197.0,6.0,200.0,181.0,197.0,0.0014082691632211208,85002,22.752296686172485,,20
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,89002,23.796931505203247,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,93002,24.84620237350464,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,97002,25.88449192047119,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,101002,26.929661512374878,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,105002,27.961026906967163,,25
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,109002,28.9982647895813,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,113002,30.051624298095703,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,117002,31.112955570220947,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,121002,32.15900945663452,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,125002,33.190884828567505,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,129002,34.225210428237915,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,133002,35.26696848869324,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,137002,36.28734993934631,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,141002,37.34473490715027,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,145002,38.391682624816895,,35
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,149002,39.42098808288574,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,153002,40.46772837638855,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,157002,41.52333378791809,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,161002,42.592177867889404,,39
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,165002,43.6578004360199,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,169002,44.71445560455322,,41
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,173002,45.743610858917236,,42
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,177002,46.781028270721436,,43
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,181002,47.800179958343506,,44
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,185002,48.83702111244202,,45
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,189002,49.88080835342407,,46
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,193002,50.92623162269592,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,197002,51.965858459472656,,48
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,201002,53.01543092727661,,49
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,205002,54.05360794067383,,50
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,209002,55.09392523765564,,51
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,213002,56.13088321685791,,52
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,217002,57.17291188240051,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,221002,58.21384263038635,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,225002,59.26029062271118,,55
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,229002,60.29829978942871,,56
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,233002,61.34004831314087,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,237002,62.38136911392212,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,241002,63.433485984802246,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,245002,64.49759197235107,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,249002,65.55706357955933,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,253002,66.60970377922058,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,257002,67.64458203315735,,63
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,261002,68.69198870658875,,64
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,265002,69.74329829216003,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,269002,70.7910726070404,,66
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,273002,71.8361804485321,,67
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,277002,72.87795734405518,,68
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,281002,73.93066954612732,,69
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,285002,74.96338653564453,,70
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,289002,76.00004553794861,,71
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,293002,77.05538415908813,,72
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,297002,78.09454607963562,,73
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,301002,79.12628769874573,,74
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,305002,80.15791130065918,,75
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,309002,81.1984167098999,,76
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0,313002,82.22863340377808,,77
