Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
36.727272,25.513245,95.0,9.0,36.72727272727273,25.474684,15.088641,94.0,9.0,25.474683544303797,-0.005904518999159336,4025,1.027008295059204,25.474684,0
54.625,30.318878,111.0,25.0,54.625,31.801588,18.512123,108.0,10.0,31.8015873015873,-0.008144193328917027,8032,2.3238565921783447,,1
45.555557,18.355206,80.0,21.0,45.55555555555556,37.287037,17.833101,84.0,10.0,37.28703703703704,-0.009423168376088142,12059,3.379150629043579,,2
44.666668,16.45195,88.0,31.0,44.666666666666664,53.453335,30.523125,173.0,13.0,53.45333333333333,-0.0074417865835130215,16068,4.408704519271851,,3
60.285713,15.790724,85.0,36.0,60.285714285714285,58.014492,30.40523,165.0,17.0,58.01449275362319,-0.006388533394783735,20071,5.452847242355347,,4
81.0,15.112908,104.0,64.0,81.0,64.69841,26.611034,133.0,17.0,64.6984126984127,-0.00667124567553401,24147,6.515752077102661,,5
86.8,4.354308,92.0,79.0,86.8,71.58929,25.746552,160.0,30.0,71.58928571428571,-0.0029138452373445034,28156,7.575544357299805,,6
97.2,41.416904,177.0,59.0,97.2,79.882355,36.610104,197.0,24.0,79.88235294117646,-0.005625223740935326,32230,8.655426502227783,,7
109.5,39.727196,175.0,74.0,109.5,85.6875,39.40239,200.0,31.0,85.6875,-0.0022171982564032078,36343,9.732318878173828,,8
85.0,16.816658,114.0,62.0,85.0,105.589745,43.10257,200.0,24.0,105.58974358974359,-0.009275347925722599,40461,10.831884145736694,,9
117.0,21.201414,152.0,97.0,117.0,138.2,43.326973,200.0,60.0,138.2,-0.007311760913580656,44607,11.939019680023193,,10
171.33333,31.79448,200.0,127.0,171.33333333333334,145.10715,37.496037,200.0,64.0,145.10714285714286,-0.00823597889393568,48670,13.040024042129517,,11
162.33333,28.241028,200.0,132.0,162.33333333333334,147.92857,39.32641,200.0,58.0,147.92857142857142,-0.007214591838419437,52812,14.129942178726196,,12
156.66667,30.739046,200.0,132.0,156.66666666666666,175.91304,32.624226,200.0,95.0,175.91304347826087,-0.012296591885387897,56858,15.194758653640747,,13
188.0,16.970562,200.0,164.0,188.0,173.83333,38.447655,200.0,62.0,173.83333333333334,-0.011861221864819527,61030,16.314053535461426,,14
200.0,0.0,200.0,200.0,200.0,182.54546,25.322874,200.0,121.0,182.54545454545453,-0.010651961900293827,65046,17.351476669311523,,15
191.66667,11.785113,200.0,175.0,191.66666666666666,182.36363,22.648588,200.0,121.0,182.36363636363637,-0.010868823155760765,69058,18.44929051399231,,16
199.66667,0.4714045,200.0,199.0,199.66666666666666,189.72728,18.116245,200.0,133.0,189.72727272727272,-0.007733836304396391,73232,19.562861919403076,,17
180.66667,27.341461,200.0,142.0,180.66666666666666,179.56522,28.686954,200.0,114.0,179.56521739130434,-0.00451890891417861,77362,20.672404766082764,,18
200.0,0.0,200.0,200.0,200.0,181.26086,29.643118,200.0,115.0,181.2608695652174,-0.015109744854271412,81531,21.7624249458313,,19
200.0,0.0,200.0,200.0,200.0,199.5238,2.1295884,200.0,190.0,199.52380952380952,-0.0030939853750169277,85721,22.85036849975586,,20
200.0,0.0,200.0,200.0,200.0,197.2381,7.3866334,200.0,170.0,197.23809523809524,0.0002468123857397586,89863,23.928169012069702,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.010094731114804745,93863,24.941807508468628,,22
