Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
33.583332,25.636753,92.0,14.0,33.583333333333336,24.613497,12.65945,66.0,8.0,24.613496932515336,11.044225692749023,4012,1.0354523658752441,24.613497,0
37.909092,22.576956,90.0,13.0,37.90909090909091,31.875,16.635805,82.0,10.0,31.875,13.787364959716797,8092,2.34360933303833,,1
50.5,25.352514,106.0,27.0,50.5,41.42268,18.227562,89.0,13.0,41.422680412371136,16.194229125976562,12110,3.3990120887756348,,2
90.333336,39.86087,156.0,44.0,90.33333333333333,54.426666,23.72856,111.0,13.0,54.42666666666667,20.356056213378906,16192,4.492046594619751,,3
83.4,36.72928,149.0,38.0,83.4,61.53846,25.008968,121.0,19.0,61.53846153846154,21.867652893066406,20192,5.559313774108887,,4
64.42857,28.278498,124.0,34.0,64.42857142857143,61.166668,19.464485,114.0,23.0,61.166666666666664,19.885969161987305,24229,6.619757175445557,,5
62.0,11.735172,76.0,38.0,62.0,83.520836,26.450417,177.0,43.0,83.52083333333333,25.83222198486328,28238,7.676558256149292,,6
100.25,29.465021,144.0,61.0,100.25,87.652176,36.831116,200.0,40.0,87.65217391304348,28.722618103027344,32270,8.735572338104248,,7
78.5,10.704361,95.0,67.0,78.5,109.62162,45.552673,200.0,49.0,109.62162162162163,34.34958267211914,36326,9.798044204711914,,8
118.25,42.87992,165.0,73.0,118.25,102.675,37.70437,200.0,47.0,102.675,30.496347427368164,40433,10.883877277374268,,9
173.33333,37.71236,200.0,120.0,173.33333333333334,134.43333,44.090576,200.0,60.0,134.43333333333334,38.7657356262207,44466,11.963049173355103,,10
184.33333,22.156012,200.0,153.0,184.33333333333334,161.0,32.944008,200.0,82.0,161.0,42.34823226928711,48652,13.09798789024353,,11
177.0,32.526913,200.0,131.0,177.0,166.91667,31.23822,200.0,113.0,166.91666666666666,44.065853118896484,52658,14.180847883224487,,12
200.0,0.0,200.0,200.0,200.0,178.69565,27.75739,200.0,111.0,178.69565217391303,45.97731018066406,56768,15.270457983016968,,13
192.0,11.313708,200.0,176.0,192.0,183.45454,24.16934,200.0,114.0,183.45454545454547,45.94459915161133,60804,16.372530460357666,,14
200.0,0.0,200.0,200.0,200.0,180.78261,33.73678,200.0,100.0,180.7826086956522,47.29779052734375,64962,17.471325635910034,,15
195.0,7.071068,200.0,185.0,195.0,171.70833,36.00287,200.0,93.0,171.70833333333334,44.705116271972656,69083,18.589855194091797,,16
199.33333,0.942809,200.0,198.0,199.33333333333334,163.72,38.88498,200.0,95.0,163.72,42.74116897583008,73176,19.703041315078735,,17
196.33333,3.8586123,200.0,191.0,196.33333333333334,157.53847,43.44336,200.0,81.0,157.53846153846155,42.20502471923828,77272,20.813125133514404,,18
200.0,0.0,200.0,200.0,200.0,178.82608,37.39873,200.0,89.0,178.82608695652175,46.377105712890625,81385,21.89881181716919,,19
200.0,0.0,200.0,200.0,200.0,199.66667,1.4907119,200.0,193.0,199.66666666666666,48.69053649902344,85578,22.99163508415222,,20
200.0,0.0,200.0,200.0,200.0,198.85715,5.111012,200.0,176.0,198.85714285714286,49.22343444824219,89754,24.07296371459961,,21
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.44963455200195,93754,25.131815671920776,,22
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,48.45441436767578,97754,26.163882732391357,,23
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.091888427734375,101754,27.222400188446045,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,50.5473518371582,105754,28.265839338302612,,25
173.66667,4.4969125,180.0,170.0,173.66666666666666,199.66667,1.284832,200.0,194.0,199.66666666666666,49.784454345703125,109947,29.38659954071045,,26
133.66667,37.366055,172.0,83.0,133.66666666666666,182.31818,12.260012,200.0,156.0,182.3181818181818,46.54925537109375,113958,30.43653440475464,,27
112.6,70.17293,181.0,25.0,112.6,166.8,29.648611,194.0,32.0,166.8,42.902095794677734,118128,31.560747623443604,,28
143.5,62.84306,186.0,35.0,143.5,142.13792,65.076996,193.0,16.0,142.13793103448276,43.36161804199219,122250,32.66219115257263,,29
143.66667,74.77225,200.0,38.0,143.66666666666666,159.1923,58.840736,200.0,20.0,159.19230769230768,45.29995346069336,126389,33.73773145675659,,30
200.0,0.0,200.0,200.0,200.0,180.65218,41.847145,200.0,86.0,180.65217391304347,46.594146728515625,130544,34.823214530944824,,31
198.66667,1.8856181,200.0,196.0,198.66666666666666,166.2,60.214283,200.0,18.0,166.2,46.072349548339844,134699,35.93898892402649,,32
192.66667,10.3709,200.0,178.0,192.66666666666666,180.91304,33.410378,200.0,71.0,180.91304347826087,45.879798889160156,138860,37.085723876953125,,33
200.0,0.0,200.0,200.0,200.0,174.39131,55.936096,200.0,19.0,174.3913043478261,46.79515838623047,142871,38.131503105163574,,34
200.0,0.0,200.0,200.0,200.0,191.5238,22.143726,200.0,122.0,191.52380952380952,47.50852966308594,146893,39.17698645591736,,35
200.0,0.0,200.0,200.0,200.0,187.45454,39.295757,200.0,24.0,187.45454545454547,47.043270111083984,151017,40.25756096839905,,36
200.0,0.0,200.0,200.0,200.0,198.61905,6.175807,200.0,171.0,198.61904761904762,48.410919189453125,155188,41.338072299957275,,37
200.0,0.0,200.0,200.0,200.0,199.14285,3.8332598,200.0,182.0,199.14285714285714,46.39205551147461,159370,42.412367820739746,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,46.197330474853516,163370,43.458640575408936,,39
194.66667,4.4969125,200.0,189.0,194.66666666666666,198.90475,2.5430536,200.0,190.0,198.9047619047619,45.100650787353516,167547,44.59203004837036,,40
175.0,6.164414,183.0,168.0,175.0,193.5238,6.6161346,200.0,178.0,193.52380952380952,44.65987777709961,171611,45.67779302597046,,41
159.0,2.9439204,162.0,155.0,159.0,175.73914,7.634118,195.0,162.0,175.7391304347826,39.22660827636719,175653,46.74583029747009,,42
148.66667,2.4944384,152.0,146.0,148.66666666666666,163.64,7.2491655,181.0,147.0,163.64,35.764076232910156,179744,47.804068088531494,,43
149.0,10.708252,161.0,135.0,149.0,152.66667,5.1279917,162.0,137.0,152.66666666666666,32.18352508544922,183866,48.88056182861328,,44
154.66667,7.133645,162.0,145.0,154.66666666666666,149.37038,6.923648,160.0,131.0,149.37037037037038,31.564224243164062,187899,49.9452919960022,,45
156.66667,3.771236,162.0,154.0,156.66666666666666,153.84616,8.383557,168.0,135.0,153.84615384615384,32.03816604614258,191899,51.00339722633362,,46
168.0,4.5460606,173.0,162.0,168.0,157.8077,7.4782724,171.0,141.0,157.80769230769232,32.90707778930664,196002,52.08564496040344,,47
162.66667,10.208929,177.0,154.0,162.66666666666666,165.04,8.296891,182.0,150.0,165.04,34.38407897949219,200128,53.14942145347595,,48
173.66667,14.6363325,185.0,153.0,173.66666666666666,167.625,9.308654,183.0,146.0,167.625,34.68395233154297,204151,54.20046901702881,,49
173.0,11.430952,187.0,159.0,173.0,170.70833,5.9824686,181.0,156.0,170.70833333333334,33.84780502319336,208248,55.29063844680786,,50
187.33333,9.46338,195.0,174.0,187.33333333333334,173.91304,9.912281,194.0,152.0,173.91304347826087,34.5482177734375,212248,56.36683392524719,,51
173.66667,12.283685,188.0,158.0,173.66666666666666,180.39131,10.247966,197.0,151.0,180.3913043478261,34.98591995239258,216397,57.492292642593384,,52
165.33333,11.841547,180.0,151.0,165.33333333333334,177.39131,7.516585,193.0,162.0,177.3913043478261,34.04047775268555,220477,58.57818031311035,,53
180.0,5.0990195,187.0,175.0,180.0,172.83333,9.728252,192.0,158.0,172.83333333333334,32.059478759765625,224625,59.64813423156738,,54
190.33333,9.741093,200.0,177.0,190.33333333333334,181.13043,9.892045,195.0,158.0,181.1304347826087,33.99171447753906,228791,60.731337547302246,,55
193.0,3.7416575,198.0,189.0,193.0,190.31818,10.2530985,200.0,168.0,190.3181818181818,36.080326080322266,232978,61.84906888008118,,56
200.0,0.0,200.0,200.0,200.0,196.33333,7.026029,200.0,177.0,196.33333333333334,35.56662368774414,237101,62.909764528274536,,57
200.0,0.0,200.0,200.0,200.0,199.80952,0.85183537,200.0,196.0,199.8095238095238,35.01115798950195,241297,63.98742651939392,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,35.12393569946289,245297,65.03840899467468,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,34.239952087402344,249297,66.06029844284058,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,34.04624938964844,253297,67.08676242828369,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,33.77882766723633,257297,68.11306428909302,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,32.572601318359375,261297,69.14997696876526,,63
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,31.72710609436035,265297,70.2026915550232,,64
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,32.77943420410156,269297,71.246173620224,,65
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,30.871156692504883,273297,72.29227662086487,,66
200.0,0.0,200.0,200.0,200.0,199.90475,0.42591769,200.0,198.0,199.9047619047619,32.58640670776367,277495,73.4102053642273,,67
192.66667,10.3709,200.0,178.0,192.66666666666666,200.0,0.0,200.0,200.0,200.0,31.21284294128418,281495,74.53982353210449,,68
193.0,9.899495,200.0,179.0,193.0,196.38095,5.9158883,200.0,179.0,196.38095238095238,27.910091400146484,285619,75.6834487915039,,69
183.0,6.97615,192.0,175.0,183.0,183.04546,10.877322,200.0,160.0,183.04545454545453,26.30476188659668,289646,76.79238080978394,,70
