Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
28.6,13.812072,57.0,12.0,28.6,22.266666,11.207934,57.0,9.0,22.266666666666666,-0.007692614104598761,1002,0.3439314365386963,22.266666,0
42.7,17.61278,67.0,17.0,42.7,30.424242,15.956437,72.0,11.0,30.424242424242426,-0.015121596865355968,2006,0.9222097396850586,,1
35.0,15.534906,78.0,17.0,35.0,41.56,19.577702,88.0,11.0,41.56,-0.014004715718328953,3045,1.2747764587402344,,2
52.375,24.479263,108.0,29.0,52.375,47.95238,31.26915,150.0,10.0,47.95238095238095,-0.02283136360347271,4052,1.6200730800628662,,3
59.42857,8.033095,76.0,50.0,59.42857142857143,59.058823,31.829453,144.0,20.0,59.05882352941177,-0.004773425869643688,5056,1.96476411819458,,4
84.0,54.151638,184.0,43.0,84.0,60.764706,20.05149,120.0,27.0,60.76470588235294,-0.009234381839632988,6089,2.3186185359954834,,5
57.5,11.202679,75.0,39.0,57.5,60.17647,17.813528,88.0,24.0,60.1764705882353,-0.01892225258052349,7112,2.6773488521575928,,6
104.25,32.59889,148.0,69.0,104.25,63.375,21.429754,103.0,25.0,63.375,-0.018633024767041206,8126,3.024127960205078,,7
104.75,55.210392,200.0,69.0,104.75,67.0,24.955961,117.0,30.0,67.0,-0.012130938470363617,9131,3.36124324798584,,8
62.42857,18.889584,93.0,37.0,62.42857142857143,70.26667,37.06295,200.0,43.0,70.26666666666667,-0.0005929393228143454,10185,3.7137181758880615,,9
83.8,22.506887,116.0,62.0,83.8,81.15385,24.197412,120.0,39.0,81.15384615384616,-0.0016777378041297197,11240,4.065567970275879,,10
76.333336,16.878653,102.0,48.0,76.33333333333333,83.333336,27.237638,136.0,49.0,83.33333333333333,0.013562348671257496,12240,4.4130072593688965,,11
73.833336,13.158226,90.0,50.0,73.83333333333333,105.4,43.322514,187.0,54.0,105.4,-0.011559495702385902,13294,4.770146369934082,,12
90.4,28.40141,147.0,72.0,90.4,80.61539,23.056913,117.0,45.0,80.61538461538461,-0.013225086964666843,14342,5.12665057182312,,13
77.0,14.944341,97.0,54.0,77.0,72.0,27.766888,137.0,44.0,72.0,-0.030232826247811317,15350,5.474572658538818,,14
105.25,25.133394,144.0,82.0,105.25,95.36364,31.89834,144.0,50.0,95.36363636363636,0.0036289372947067022,16399,5.837526559829712,,15
137.5,42.664387,181.0,80.0,137.5,107.9,41.62559,169.0,45.0,107.9,-0.006914019584655762,17478,6.231626987457275,,16
134.5,37.165173,190.0,88.0,134.5,113.77778,48.775623,184.0,51.0,113.77777777777777,-0.0012474199756979942,18502,6.608891010284424,,17
155.33333,20.154955,176.0,128.0,155.33333333333334,145.71428,33.533413,200.0,99.0,145.71428571428572,0.01827588677406311,19522,6.966634035110474,,18
