Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
35.53846,20.326622,83.0,15.0,35.53846153846154,24.761906,12.2393,55.0,10.0,24.761904761904763,-0.0061233374290168285,1040,0.36121416091918945,24.761906,0
42.0,18.798937,83.0,17.0,42.0,35.714287,16.835033,68.0,12.0,35.714285714285715,-0.015790903940796852,2040,0.94309401512146,,1
56.75,31.079535,111.0,20.0,56.75,38.88889,17.316944,74.0,16.0,38.888888888888886,-0.018909817561507225,3090,1.3104174137115479,,2
105.75,58.563534,200.0,51.0,105.75,53.4,28.533138,119.0,18.0,53.4,-0.007225375156849623,4158,1.6670727729797363,,3
62.285713,14.399546,88.0,41.0,62.285714285714285,54.42105,18.562315,92.0,28.0,54.421052631578945,0.0003633826563600451,5192,2.019031047821045,,4
105.0,45.160824,158.0,37.0,105.0,58.166668,16.597355,92.0,39.0,58.166666666666664,0.0021240715868771076,6239,2.372826337814331,,5
63.0,28.127262,120.0,28.0,63.0,83.333336,32.68367,145.0,39.0,83.33333333333333,-0.0053969998843967915,7239,2.7128541469573975,,6
115.0,53.614365,200.0,57.0,115.0,74.14286,28.6278,141.0,32.0,74.14285714285714,-0.012112585827708244,8277,3.066979169845581,,7
99.8,37.60532,156.0,49.0,99.8,116.9,49.44987,200.0,51.0,116.9,0.013037574477493763,9446,3.4636409282684326,,8
150.66667,35.64953,200.0,117.0,150.66666666666666,103.0,31.218584,175.0,68.0,103.0,0.024765009060502052,10476,3.824326276779175,,9
134.25,5.3560715,143.0,129.0,134.25,154.71428,33.405365,200.0,116.0,154.71428571428572,-0.0057631125673651695,11559,4.219470500946045,,10
158.0,30.408333,200.0,129.0,158.0,129.22223,32.594402,183.0,57.0,129.22222222222223,0.006919583771377802,12722,4.610658884048462,,11
164.0,20.60744,191.0,141.0,164.0,149.57143,46.976765,200.0,61.0,149.57142857142858,-0.021588629111647606,13769,4.975967645645142,,12
148.33333,37.93269,200.0,110.0,148.33333333333334,153.71428,38.562435,200.0,97.0,153.71428571428572,-0.009898326359689236,14845,5.34433388710022,,13
141.66667,17.461067,165.0,123.0,141.66666666666666,145.57143,41.17162,200.0,97.0,145.57142857142858,0.0020070348400622606,15864,5.691803216934204,,14
200.0,0.0,200.0,200.0,200.0,160.85715,36.868217,200.0,103.0,160.85714285714286,-0.01977487839758396,16990,6.055963754653931,,15
175.33333,12.498889,187.0,158.0,175.33333333333334,195.66667,4.784233,200.0,188.0,195.66666666666666,-0.015325954183936119,18164,6.466521501541138,,16
142.33333,46.549854,200.0,86.0,142.33333333333334,172.83333,39.7258,200.0,101.0,172.83333333333334,-0.007193421944975853,19201,6.818547964096069,,17
190.33333,2.4944384,193.0,187.0,190.33333333333334,182.16667,27.618933,200.0,127.0,182.16666666666666,0.008402583189308643,20294,7.218203783035278,,18
180.66667,27.341461,200.0,142.0,180.66666666666666,180.0,15.534906,200.0,154.0,180.0,0.008563979528844357,21374,7.605993270874023,,19
197.0,3.5590262,200.0,192.0,197.0,181.83333,40.6219,200.0,91.0,181.83333333333334,-0.008063199929893017,22465,8.00420069694519,,20
183.33333,15.860503,200.0,162.0,183.33333333333334,189.16667,20.851994,200.0,143.0,189.16666666666666,-0.0012138185556977987,23600,8.40530514717102,,21
200.0,0.0,200.0,200.0,200.0,172.33333,32.20076,200.0,123.0,172.33333333333334,-0.005097849294543266,24634,8.74634051322937,,22
182.0,25.455845,200.0,146.0,182.0,200.0,0.0,200.0,200.0,200.0,-0.011388400569558144,25634,9.113264083862305,,23
200.0,0.0,200.0,200.0,200.0,190.66667,20.869968,200.0,144.0,190.66666666666666,-0.002290303586050868,26778,9.476269960403442,,24
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.0006451663793995976,27778,9.812424659729004,,25
200.0,0.0,200.0,200.0,200.0,185.0,33.54102,200.0,110.0,185.0,0.000424228492192924,28888,10.170880556106567,,26
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.008349822834134102,29888,10.501883029937744,,27
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.02830149419605732,30888,10.832623481750488,,28
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.0011235198471695185,31888,11.168186902999878,,29
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.013240456581115723,32888,11.503860235214233,,30
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.007023617625236511,33888,11.847771406173706,,31
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.006403600797057152,34888,12.191190004348755,,32
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.010069982148706913,35888,12.535280466079712,,33
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.010493682697415352,36888,12.87317705154419,,34
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.01489296555519104,37888,13.218310356140137,,35
192.0,5.8878407,200.0,186.0,192.0,197.0,5.1316013,200.0,186.0,197.0,-0.014161603525280952,39070,13.631258249282837,,36
170.0,21.22891,200.0,154.0,170.0,185.83333,13.32187,200.0,162.0,185.83333333333334,-0.026019735261797905,40185,14.010017156600952,,37
158.0,2.9439204,162.0,155.0,158.0,172.5,15.085865,200.0,156.0,172.5,-0.03275949880480766,41220,14.364237308502197,,38
153.0,7.1180525,163.0,147.0,153.0,142.75,12.36679,161.0,121.0,142.75,-0.030402926728129387,42362,14.742095470428467,,39
170.0,26.47011,199.0,135.0,170.0,151.42857,7.461466,167.0,145.0,151.42857142857142,-0.05531752482056618,43422,15.109384775161743,,40
173.0,6.531973,181.0,165.0,173.0,169.5,13.187747,190.0,150.0,169.5,-0.03302937000989914,44439,15.46925973892212,,41
154.33333,15.9652405,176.0,138.0,154.33333333333334,160.28572,16.610792,190.0,134.0,160.28571428571428,-0.006119273137301207,45561,15.842857599258423,,42
147.33333,3.091206,150.0,143.0,147.33333333333334,143.28572,14.820009,168.0,124.0,143.28571428571428,-0.03667300194501877,46564,16.18426012992859,,43
140.0,8.524474,147.0,128.0,140.0,150.14285,11.67939,168.0,132.0,150.14285714285714,-0.03445073962211609,47615,16.529869556427002,,44
155.33333,8.339998,167.0,148.0,155.33333333333334,151.42857,8.957952,165.0,139.0,151.42857142857142,-0.010711094364523888,48675,16.893383026123047,,45
148.33333,6.5996633,153.0,139.0,148.33333333333334,150.42857,13.058738,163.0,120.0,150.42857142857142,-0.043346673250198364,49728,17.249450206756592,,46
152.33333,11.785113,169.0,144.0,152.33333333333334,144.71428,5.5988336,152.0,136.0,144.71428571428572,-0.03563215211033821,50741,17.598984718322754,,47
145.33333,21.359358,173.0,121.0,145.33333333333334,146.28572,13.9562,169.0,131.0,146.28571428571428,-0.027911514043807983,51765,17.960030555725098,,48
174.33333,4.9216075,180.0,168.0,174.33333333333334,151.71428,13.71875,181.0,134.0,151.71428571428572,-0.016480887308716774,52827,18.34786605834961,,49
154.0,12.192894,171.0,143.0,154.0,158.85715,13.663597,187.0,145.0,158.85714285714286,-0.031033121049404144,53939,18.723100185394287,,50
192.66667,5.734884,200.0,186.0,192.66666666666666,169.5,17.414074,200.0,144.0,169.5,-0.035169873386621475,54956,19.099896907806396,,51
200.0,0.0,200.0,200.0,200.0,185.5,12.789969,200.0,167.0,185.5,-0.01513258833438158,56069,19.459285974502563,,52
200.0,0.0,200.0,200.0,200.0,194.5,9.517528,200.0,174.0,194.5,-0.011582737788558006,57236,19.82836365699768,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.018491407856345177,58236,20.16863989830017,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.005276819225400686,59236,20.505252361297607,,55
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-0.008154327981173992,60236,20.83924674987793,,56
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,-2.492904741302482e-06,61236,21.173236846923828,,57
197.33333,3.771236,200.0,192.0,197.33333333333334,195.0,5.656854,200.0,186.0,195.0,-0.013045631349086761,62406,21.58521318435669,,58
200.0,0.0,200.0,200.0,200.0,199.5,1.118034,200.0,197.0,199.5,0.008057700470089912,63603,21.960988759994507,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,0.013630553148686886,64603,22.294997453689575,,60
187.0,10.230673,200.0,175.0,187.0,197.5,5.59017,200.0,185.0,197.5,-0.018581336364150047,65788,22.709461212158203,,61
192.66667,10.3709,200.0,178.0,192.66666666666666,192.66667,8.768631,200.0,176.0,192.66666666666666,-0.0050763580948114395,66944,23.119622468948364,,62
186.33333,9.877022,200.0,177.0,186.33333333333334,190.33333,15.595584,200.0,158.0,190.33333333333334,-0.020799782127141953,68086,23.521780014038086,,63
200.0,0.0,200.0,200.0,200.0,193.33333,9.58587,200.0,177.0,193.33333333333334,-0.013843158259987831,69246,23.894710540771484,,64
200.0,0.0,200.0,200.0,200.0,195.5,5.408327,200.0,188.0,195.5,-0.016688240692019463,70419,24.269946575164795,,65
