Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
31.615385,14.3126545,62.0,15.0,31.615384615384617,23.72093,11.003859,65.0,9.0,23.72093023255814,10.283225059509277,1020,0.34099435806274414,23.72093,0
51.25,24.478306,94.0,22.0,51.25,30.055555,17.73876,84.0,10.0,30.055555555555557,13.89596939086914,2102,0.9344310760498047,,1
42.2,20.826906,78.0,14.0,42.2,40.88,22.567799,93.0,10.0,40.88,17.545907974243164,3124,1.283130407333374,,2
57.25,23.657715,91.0,27.0,57.25,58.11111,25.70752,123.0,15.0,58.111111111111114,22.180286407470703,4170,1.64493727684021,,3
60.625,22.852448,113.0,37.0,60.625,57.22222,25.71112,122.0,17.0,57.22222222222222,21.08840560913086,5200,2.007000207901001,,4
135.66667,9.104334,144.0,123.0,135.66666666666666,68.4,28.82314,119.0,15.0,68.4,24.35491180419922,6226,2.356203556060791,,5
82.6,23.234457,107.0,45.0,82.6,70.333336,24.16517,113.0,38.0,70.33333333333333,22.688779830932617,7281,2.711796283721924,,6
81.2,23.718348,126.0,56.0,81.2,92.90909,28.893076,138.0,43.0,92.9090909090909,28.37388038635254,8303,3.0497870445251465,,7
95.0,37.432606,153.0,45.0,95.0,113.22222,44.386627,195.0,62.0,113.22222222222223,36.00379943847656,9322,3.404757261276245,,8
146.0,38.884445,200.0,110.0,146.0,96.0,45.676727,200.0,55.0,96.0,30.94845199584961,10378,3.7556569576263428,,9
136.5,41.596275,200.0,95.0,136.5,109.1,28.734823,152.0,74.0,109.1,30.464027404785156,11469,4.143254995346069,,10
175.33333,34.883938,200.0,126.0,175.33333333333334,118.666664,55.07369,200.0,40.0,118.66666666666667,35.68658447265625,12537,4.521468162536621,,11
176.66667,16.519348,200.0,164.0,176.66666666666666,153.42857,41.815434,200.0,94.0,153.42857142857142,40.56591796875,13611,4.903084754943848,,12
180.0,28.284271,200.0,140.0,180.0,162.85715,15.254307,190.0,144.0,162.85714285714286,39.558624267578125,14751,5.309791803359985,,13
183.0,6.6833124,190.0,174.0,183.0,194.0,6.191392,200.0,186.0,194.0,43.105674743652344,15915,5.722259759902954,,14
139.0,43.366653,200.0,103.0,139.0,168.85715,38.45379,200.0,87.0,168.85714285714286,40.4902458190918,17097,6.112483978271484,,15
169.66667,26.23399,200.0,136.0,169.66666666666666,178.83333,29.807251,200.0,117.0,178.83333333333334,39.63056564331055,18170,6.499585151672363,,16
152.0,24.913183,182.0,121.0,152.0,159.85715,31.08251,200.0,108.0,159.85714285714286,36.29372787475586,19289,6.8760247230529785,,17
200.0,0.0,200.0,200.0,200.0,172.33333,22.705849,200.0,135.0,172.33333333333334,37.09817123413086,20323,7.215708255767822,,18
192.33333,10.842304,200.0,177.0,192.33333333333334,184.16667,25.327303,200.0,132.0,184.16666666666666,37.44499969482422,21428,7.611239433288574,,19
200.0,0.0,200.0,200.0,200.0,189.5,23.478714,200.0,137.0,189.5,37.979129791259766,22565,7.972765207290649,,20
200.0,0.0,200.0,200.0,200.0,199.5,1.118034,200.0,197.0,199.5,40.71519088745117,23762,8.350445985794067,,21
163.33333,10.530379,174.0,149.0,163.33333333333334,178.5,30.406961,200.0,135.0,178.5,35.225765228271484,24833,8.720544338226318,,22
137.5,15.532225,163.0,122.0,137.5,168.16667,23.709469,200.0,140.0,168.16666666666666,31.76188850402832,25842,9.088775634765625,,23
131.0,10.1242285,148.0,122.0,131.0,139.625,9.577806,156.0,123.0,139.625,25.94820213317871,26959,9.481598615646362,,24
127.5,10.356157,143.0,114.0,127.5,128.875,14.434659,157.0,113.0,128.875,24.79117774963379,27990,9.84315299987793,,25
113.75,31.403622,162.0,74.0,113.75,128.5,19.306734,162.0,96.0,128.5,25.020811080932617,29018,10.19392728805542,,26
135.66667,17.74511,152.0,111.0,135.66666666666666,117.55556,21.166594,140.0,65.0,117.55555555555556,21.329904556274414,30076,10.545717000961304,,27
145.0,10.424331,156.0,131.0,145.0,131.625,17.182386,159.0,112.0,131.625,23.75984764099121,31129,10.905684232711792,,28
135.0,8.83176,144.0,123.0,135.0,134.125,15.783199,160.0,109.0,134.125,22.514394760131836,32202,11.263614416122437,,29
150.33333,20.286833,179.0,135.0,150.33333333333334,138.75,11.955647,153.0,116.0,138.75,24.48152732849121,33312,11.632879972457886,,30
125.5,6.8007355,136.0,119.0,125.5,150.57143,22.689564,188.0,124.0,150.57142857142858,25.196218490600586,34366,11.99648404121399,,31
142.75,25.907286,187.0,121.0,142.75,144.57143,9.271417,159.0,131.0,144.57142857142858,24.740093231201172,35378,12.363896369934082,,32
137.66667,15.542058,156.0,118.0,137.66666666666666,144.57143,13.967894,166.0,126.0,144.57142857142858,23.50335693359375,36390,12.707984924316406,,33
169.66667,6.6499786,179.0,164.0,169.66666666666666,160.57143,17.887403,178.0,132.0,160.57142857142858,25.046833038330078,37514,13.093265533447266,,34
186.66667,12.472192,200.0,170.0,186.66666666666666,169.0,24.86535,200.0,140.0,169.0,27.986244201660156,38697,13.510863304138184,,35
200.0,0.0,200.0,200.0,200.0,182.33333,19.197802,200.0,152.0,182.33333333333334,27.8660945892334,39791,13.868518829345703,,36
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,30.651865005493164,40791,14.204305410385132,,37
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,29.463987350463867,41791,14.538321256637573,,38
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,30.079267501831055,42791,14.875170469284058,,39
196.66667,4.714045,200.0,190.0,196.66666666666666,200.0,0.0,200.0,200.0,200.0,29.192115783691406,43791,15.256183624267578,,40
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,29.013280868530273,44791,15.58882761001587,,41
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,26.765796661376953,45791,15.925737857818604,,42
200.0,0.0,200.0,200.0,200.0,197.33333,5.962848,200.0,184.0,197.33333333333334,28.193378448486328,46975,16.30276107788086,,43
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,27.602432250976562,47975,16.631685495376587,,44
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,28.60700798034668,48975,16.963178157806396,,45
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,25.15631866455078,49975,17.29328989982605,,46
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,26.503347396850586,50975,17.62285304069519,,47
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,21.615137100219727,51975,17.958120107650757,,48
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,26.604961395263672,52975,18.296931982040405,,49
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,24.833322525024414,53975,18.63467240333557,,50
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,24.682945251464844,54975,18.960766077041626,,51
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,25.598533630371094,55975,19.287600994110107,,52
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,24.151704788208008,56975,19.61927056312561,,53
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,22.861177444458008,57975,19.956072330474854,,54
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,21.860166549682617,58975,20.28612732887268,,55
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,24.340974807739258,59975,20.613481283187866,,56
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,25.559024810791016,60975,20.944791555404663,,57
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,22.00882339477539,61975,21.286950826644897,,58
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,20.83755874633789,62975,21.616830825805664,,59
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,23.793560028076172,63975,21.949990272521973,,60
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,20.871063232421875,64975,22.28713345527649,,61
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,23.292558670043945,65975,22.62153387069702,,62
200.0,0.0,200.0,200.0,200.0,200.0,0.0,200.0,200.0,200.0,21.775583267211914,66975,22.95447063446045,,63
200.0,0.0,200.0,200.0,200.0,197.5,3.5472994,200.0,192.0,197.5,22.530120849609375,68160,23.336546182632446,,64
146.33333,38.212852,200.0,114.0,146.33333333333334,197.83333,4.844814,200.0,187.0,197.83333333333334,22.28952407836914,69347,23.727453231811523,,65
150.33333,35.64953,200.0,118.0,150.33333333333334,188.16667,20.16942,200.0,145.0,188.16666666666666,23.61147117614746,70476,24.10634994506836,,66
150.33333,29.691002,192.0,125.0,150.33333333333334,169.83333,29.980087,200.0,122.0,169.83333333333334,20.143360137939453,71495,24.458385705947876,,67
168.0,29.017237,190.0,127.0,168.0,174.66667,22.484562,200.0,129.0,174.66666666666666,22.169496536254883,72543,24.827962160110474,,68
151.0,23.508863,184.0,131.0,151.0,168.83333,31.672369,200.0,125.0,168.83333333333334,20.02448272705078,73556,25.175057411193848,,69
134.0,10.198039,148.0,124.0,134.0,163.85715,27.915321,191.0,117.0,163.85714285714286,15.202157974243164,74703,25.542425632476807,,70
170.33333,31.940916,200.0,126.0,170.33333333333334,183.83333,27.070383,200.0,124.0,183.83333333333334,17.58547019958496,75806,25.926361083984375,,71
187.33333,10.624919,200.0,174.0,187.33333333333334,153.85715,29.279093,200.0,113.0,153.85714285714286,17.991971969604492,76883,26.317880153656006,,72
196.33333,5.1854496,200.0,189.0,196.33333333333334,170.33333,34.6009,198.0,103.0,170.33333333333334,20.3597469329834,77905,26.71144127845764,,73
200.0,0.0,200.0,200.0,200.0,186.33333,23.449709,200.0,136.0,186.33333333333334,20.32345962524414,79023,27.076109170913696,,74
200.0,0.0,200.0,200.0,200.0,197.66667,3.2998316,200.0,193.0,197.66666666666666,18.523193359375,80209,27.46170687675476,,75
166.33333,44.81319,200.0,103.0,166.33333333333334,198.66667,2.2110832,200.0,194.0,198.66666666666666,23.070556640625,81401,27.86609983444214,,76
191.0,4.5460606,197.0,186.0,191.0,195.0,6.506407,200.0,184.0,195.0,18.996288299560547,82571,28.27703547477722,,77
200.0,0.0,200.0,200.0,200.0,162.85715,40.26494,200.0,104.0,162.85714285714286,17.52761459350586,83711,28.646886825561523,,78
184.33333,4.027682,190.0,181.0,184.33333333333334,196.16667,4.2589774,200.0,190.0,196.16666666666666,18.734783172607422,84888,29.061076641082764,,79
159.0,23.366642,192.0,141.0,159.0,187.83333,27.205494,200.0,127.0,187.83333333333334,18.28343963623047,86015,29.45002555847168,,80
142.0,41.04469,200.0,111.0,142.0,180.0,25.579939,200.0,133.0,180.0,19.07141876220703,87095,29.8120698928833,,81
172.66667,38.65517,200.0,118.0,172.66666666666666,164.57143,33.243073,200.0,121.0,164.57142857142858,16.160627365112305,88247,30.217064142227173,,82
131.25,7.2240915,143.0,124.0,131.25,159.85715,34.979294,200.0,125.0,159.85714285714286,14.186859130859375,89366,30.61292266845703,,83
173.66667,37.240955,200.0,121.0,173.66666666666666,171.5,30.242079,200.0,126.0,171.5,18.203922271728516,90395,30.980083465576172,,84
200.0,0.0,200.0,200.0,200.0,172.16667,21.497416,200.0,140.0,172.16666666666666,17.63460922241211,91428,31.321460008621216,,85
180.0,14.142136,200.0,170.0,180.0,182.0,21.377558,200.0,147.0,182.0,16.406814575195312,92520,31.709446907043457,,86
200.0,0.0,200.0,200.0,200.0,182.5,14.174508,200.0,160.0,182.5,17.388172149658203,93615,32.05871295928955,,87
