Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-703.56415,40.990246,-664.3939,-760.157,1000.0,-688.4963,58.523666,-598.1291,-757.7921,1000.0,-114.6441650390625,220.6968536376953,5000,2.1298680305480957,-688.4963,0
-882.05444,40.12737,-826.1234,-918.3325,1000.0,-776.25,52.868237,-709.4552,-858.87396,1000.0,-126.89852142333984,247.8555450439453,10000,4.49670934677124,,1
-812.64984,44.431396,-753.2589,-860.115,1000.0,-766.1161,24.528833,-738.03204,-806.936,1000.0,-117.05964660644531,201.60400390625,15000,6.6315624713897705,,2
-903.55194,52.846024,-847.1488,-974.21606,1000.0,-884.71844,51.842728,-809.7058,-952.0542,1000.0,-126.7468490600586,227.04608154296875,20000,8.819790840148926,,3
-963.88446,49.567272,-900.0172,-1020.84015,1000.0,-926.598,88.41733,-817.27295,-1043.7501,1000.0,-119.78105163574219,196.32240295410156,25000,11.001312017440796,,4
-949.0892,35.338753,-921.4415,-998.9678,1000.0,-914.9663,15.365785,-894.15625,-938.94604,1000.0,-102.48526763916016,153.05792236328125,30000,13.222299098968506,,5
-984.013,74.524765,-879.3092,-1046.7932,1000.0,-931.33185,75.18639,-787.7966,-1005.2931,1000.0,-90.27535247802734,135.27720642089844,35000,15.405394077301025,,6
-917.16406,91.78335,-817.0957,-1038.7944,1000.0,-960.15234,35.157032,-908.0771,-1007.3833,1000.0,-76.9611587524414,110.57007598876953,40000,17.55477547645569,,7
-890.3206,46.659424,-824.58826,-928.19617,1000.0,-988.89374,68.38347,-894.2127,-1069.294,1000.0,-69.82765197753906,105.80997467041016,45000,19.70467209815979,,8
-858.6399,70.9022,-759.4667,-921.04,1000.0,-950.84296,70.44749,-872.8151,-1077.1888,1000.0,-48.917659759521484,66.07257080078125,50000,21.858407258987427,,9
