Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-736.0659,63.71432,-648.3002,-797.6166,1000.0,-687.1776,30.71219,-646.1638,-721.6571,1000.0,-0.10153050720691681,168.94114685058594,5000,2.1711554527282715,-687.1776,0
-833.3038,108.26739,-734.20496,-983.9339,1000.0,-704.4254,22.590132,-681.51447,-742.47473,1000.0,-0.14608991146087646,82.9176025390625,10000,43.98643136024475,,1
-718.09985,25.232893,-700.073,-753.78394,1000.0,-748.0536,27.290936,-700.3413,-775.1626,1000.0,-0.13985633850097656,31.67052459716797,15000,46.17637038230896,,2
-685.0411,91.05165,-582.0079,-803.4436,1000.0,-718.14764,39.077293,-679.9989,-783.6543,1000.0,-0.10446306318044662,22.55693244934082,20000,48.37592601776123,,3
-726.719,28.721722,-689.02344,-758.6698,1000.0,-692.1266,21.573215,-666.11926,-726.1501,1000.0,-0.14903201162815094,22.624570846557617,25000,50.55035614967346,,4
-717.3327,64.33889,-633.133,-789.2997,1000.0,-720.3592,87.77163,-611.2506,-869.51154,1000.0,-0.08709235489368439,45.76490783691406,30000,52.754695653915405,,5
-663.0313,20.533056,-635.6767,-685.14685,1000.0,-633.61884,81.63715,-522.76196,-767.03406,1000.0,-0.12814614176750183,45.52426528930664,35000,54.92780566215515,,6
-633.5906,52.37281,-576.44946,-702.9721,1000.0,-648.4142,38.12975,-610.8593,-716.29944,1000.0,-0.16269373893737793,28.70423126220703,40000,57.14426231384277,,7
-587.75903,29.014816,-546.7275,-608.5836,1000.0,-561.8363,51.65472,-496.31973,-628.39124,1000.0,-0.1192806288599968,20.960878372192383,45000,59.36293983459473,,8
-592.1732,20.292048,-576.1658,-620.8039,1000.0,-588.30725,46.30657,-499.02032,-622.8202,1000.0,-0.15674012899398804,19.743389129638672,50000,61.59650230407715,,9
-595.19836,46.06043,-561.61536,-660.327,1000.0,-540.1056,55.368404,-460.13696,-605.58093,1000.0,-0.10460656881332397,25.222352981567383,55000,63.79794764518738,,10
-563.50934,71.12284,-479.87445,-653.7168,1000.0,-535.73926,45.639145,-461.67166,-596.1487,1000.0,-0.1284836083650589,20.474105834960938,60000,104.3452217578888,,11
-552.14325,21.450584,-521.91473,-569.46375,1000.0,-534.6719,68.4893,-485.5031,-667.0922,1000.0,-0.057871777564287186,27.566747665405273,65000,106.53395509719849,,12
-503.49918,10.423984,-492.3352,-517.41864,1000.0,-546.87665,39.40107,-487.93698,-610.5978,1000.0,-0.060479264706373215,18.489389419555664,70000,108.77100372314453,,13
-536.9304,49.87925,-486.97797,-605.03986,1000.0,-533.26,53.67329,-490.99615,-639.31116,1000.0,-0.12619657814502716,18.57697868347168,75000,111.00502490997314,,14
-570.73804,53.54498,-499.79117,-629.1353,1000.0,-512.51935,51.987034,-422.32623,-569.19794,1000.0,-0.11527734249830246,14.93768310546875,80000,113.22876739501953,,15
-452.4275,18.365402,-431.63513,-476.30292,1000.0,-533.28986,52.787403,-477.11298,-625.6086,1000.0,-0.10462160408496857,28.058603286743164,85000,115.45637321472168,,16
-539.45044,86.48334,-459.23145,-659.5145,1000.0,-451.12103,27.926266,-416.26077,-493.85016,1000.0,-0.16200539469718933,22.250490188598633,90000,117.68212246894836,,17
-416.74472,86.585526,-309.15607,-521.1759,1000.0,-465.33398,25.163164,-441.63916,-510.46838,1000.0,-0.08130200207233429,16.575742721557617,95000,119.89923691749573,,18
-450.27856,67.22234,-358.96036,-518.8288,1000.0,-431.47592,37.816273,-363.42578,-478.11096,1000.0,-0.16074395179748535,14.94912052154541,100000,122.11388611793518,,19
-438.17935,47.67867,-389.1289,-502.7723,1000.0,-435.1695,27.194021,-385.15247,-466.28845,1000.0,-0.1047692522406578,17.126493453979492,105000,124.34921193122864,,20
-427.20178,54.60754,-369.60962,-500.55493,1000.0,-410.2211,44.753906,-362.19473,-481.69568,1000.0,-0.17747941613197327,14.028903007507324,110000,164.79211473464966,,21
-458.33725,29.680521,-437.24362,-500.31168,1000.0,-433.89438,32.250465,-378.80017,-468.06067,1000.0,-0.09571008384227753,17.28837776184082,115000,166.98611617088318,,22
-416.1169,16.275352,-400.79395,-438.65237,1000.0,-439.47284,46.93941,-362.2221,-497.5968,1000.0,-0.14408385753631592,16.491846084594727,120000,169.1719422340393,,23
-449.21387,10.234392,-435.9322,-460.83588,1000.0,-411.40643,21.154942,-376.36087,-434.38397,1000.0,-0.10507325083017349,13.830795288085938,125000,171.39334654808044,,24
-454.41394,70.164795,-387.09546,-551.2065,1000.0,-448.26816,53.408722,-406.69626,-548.5758,1000.0,-0.08934343606233597,25.945938110351562,130000,173.59582662582397,,25
-421.32602,13.281464,-406.83252,-438.91925,1000.0,-412.51538,16.026228,-392.9204,-439.25714,1000.0,-0.09456861764192581,13.622699737548828,135000,175.7730119228363,,26
-439.5555,42.503574,-380.03638,-476.59073,1000.0,-419.30304,51.312767,-334.8475,-467.51932,1000.0,-0.12275177240371704,19.425081253051758,140000,177.98560762405396,,27
-459.83447,86.44465,-377.87207,-579.3691,1000.0,-410.19482,36.15266,-351.7796,-440.05878,1000.0,-0.09532223641872406,21.50064468383789,145000,180.20084238052368,,28
-366.25113,55.39717,-297.68408,-433.35522,1000.0,-433.40536,42.613297,-368.4758,-486.22565,1000.0,-0.11005602031946182,38.085262298583984,150000,182.3831536769867,,29
-432.3612,73.80009,-335.82758,-514.9882,1000.0,-445.2547,56.87986,-396.4121,-554.61816,1000.0,-0.023704979568719864,47.49766540527344,155000,184.54847073554993,,30
-444.52957,61.053135,-376.50256,-524.5917,1000.0,-443.7937,35.746067,-392.64456,-495.91135,1000.0,-0.07694429159164429,39.26507568359375,160000,225.00616192817688,,31
-396.75473,69.61025,-319.7006,-488.34192,1000.0,-432.86826,77.24759,-370.28525,-582.00684,1000.0,-0.03542450815439224,28.77180290222168,165000,227.25271010398865,,32
-375.20224,15.637458,-357.04944,-395.2172,1000.0,-396.71396,69.364235,-291.94855,-502.77213,1000.0,-0.06397488713264465,22.13762664794922,170000,229.45793676376343,,33
