Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-652.1352,46.453625,-605.72675,-715.6085,1000.0,-659.77795,43.470688,-584.093,-709.7395,1000.0,-110.32998657226562,170.17515563964844,5000,2.2096054553985596,-659.77795,0
-765.3598,15.993926,-742.91095,-778.98126,1000.0,-717.0119,31.075285,-666.7689,-753.3522,1000.0,-102.81694793701172,99.34071350097656,10000,4.675724506378174,,1
-782.1704,18.051254,-762.0986,-805.86694,1000.0,-756.50586,31.779697,-714.1557,-794.7317,1000.0,-65.59404754638672,47.31020736694336,15000,6.907991170883179,,2
-738.61646,72.2362,-652.4331,-829.20996,1000.0,-774.5177,114.500885,-631.9238,-968.1172,1000.0,-39.89179229736328,34.678955078125,20000,9.119173049926758,,3
-893.97015,56.287052,-815.26416,-943.6371,1000.0,-837.1338,29.210564,-801.46375,-877.6178,1000.0,-17.23250961303711,26.51003074645996,25000,11.324614763259888,,4
-801.26514,4.8337646,-794.7762,-806.37195,1000.0,-859.36523,43.218426,-791.84656,-902.802,1000.0,1.6297950744628906,20.703392028808594,30000,13.582322120666504,,5
-766.7395,13.589857,-756.85596,-785.9558,1000.0,-837.07263,50.986744,-775.385,-908.9406,1000.0,10.029515266418457,43.14036178588867,35000,15.747868776321411,,6
-850.9371,75.65142,-769.9713,-951.9849,1000.0,-812.1747,19.190872,-791.4084,-847.03033,1000.0,18.48936653137207,28.847328186035156,40000,17.94040870666504,,7
-720.9255,45.081387,-662.9508,-772.8845,1000.0,-742.8492,44.137257,-693.8358,-819.57056,1000.0,24.31125831604004,25.64385986328125,45000,20.14237070083618,,8
-679.63086,61.459385,-593.4423,-732.4483,1000.0,-755.5631,44.41013,-696.58466,-820.408,1000.0,11.34693717956543,36.1890869140625,50000,22.35126566886902,,9
-627.97144,83.837814,-533.4375,-737.21155,1000.0,-657.2825,52.855297,-586.0926,-721.15594,1000.0,9.419260025024414,27.141681671142578,55000,24.563260316848755,,10
-602.5467,50.39719,-536.963,-659.50256,1000.0,-631.9249,25.668682,-590.2208,-664.7167,1000.0,8.14066219329834,20.526241302490234,60000,26.794591665267944,,11
-555.0052,60.378616,-476.3293,-623.0824,1000.0,-648.06506,72.04652,-530.2256,-751.1315,1000.0,-8.478981018066406,45.769229888916016,65000,29.034973621368408,,12
-553.869,3.451827,-549.453,-557.8789,1000.0,-617.2036,76.86296,-530.1582,-755.53,1000.0,-4.969384670257568,41.268550872802734,70000,31.252919673919678,,13
-579.5178,75.26294,-491.3118,-675.21094,1000.0,-599.283,34.251297,-561.7362,-656.29785,1000.0,3.232961416244507,20.688438415527344,75000,33.47028040885925,,14
-533.02374,66.40063,-458.01703,-619.45624,1000.0,-608.5453,72.478745,-513.5359,-697.0724,1000.0,-1.6025631427764893,27.278905868530273,80000,35.61401867866516,,15
-549.8355,42.956833,-493.90265,-598.3341,1000.0,-512.0158,78.92319,-420.44696,-605.15076,1000.0,11.275775909423828,25.367198944091797,85000,37.79429745674133,,16
-573.9665,92.61045,-480.65588,-700.2138,1000.0,-538.2374,77.70104,-417.03537,-639.75977,1000.0,3.3176918029785156,27.162994384765625,90000,39.986640214920044,,17
-523.02094,50.15649,-455.8647,-576.3738,1000.0,-512.42786,39.758835,-476.73355,-584.8323,1000.0,-3.0757155418395996,21.70140838623047,95000,42.14505338668823,,18
-537.90265,22.362576,-514.775,-568.147,1000.0,-554.97107,49.136574,-512.0367,-646.99994,1000.0,-18.015138626098633,32.731075286865234,100000,44.3456552028656,,19
-572.71893,30.499897,-529.95026,-598.9503,1000.0,-519.0558,85.30366,-399.31995,-611.6055,1000.0,6.0700883865356445,16.307180404663086,105000,46.551517724990845,,20
-460.43103,23.92303,-440.72913,-494.10095,1000.0,-458.711,55.489517,-358.74356,-504.54608,1000.0,8.567378997802734,26.785444259643555,110000,48.7687873840332,,21
-515.7548,72.04407,-415.67773,-582.34485,1000.0,-517.51917,39.209866,-450.6739,-572.3711,1000.0,2.9468846321105957,19.613576889038086,115000,50.96289086341858,,22
-536.98346,66.35701,-466.9718,-626.1063,1000.0,-487.62958,52.691444,-391.91302,-538.85474,1000.0,-3.186072587966919,23.219722747802734,120000,53.11272692680359,,23
-494.03772,30.40607,-456.5531,-531.0275,1000.0,-458.38934,97.188576,-301.3378,-543.67017,1000.0,-3.5714640617370605,30.298812866210938,125000,55.26327610015869,,24
-380.24527,86.82035,-258.83575,-456.80746,1000.0,-440.6288,81.30266,-329.08856,-549.26184,1000.0,2.5016517639160156,28.110437393188477,130000,57.414074420928955,,25
-414.81406,45.066124,-377.64606,-478.23486,1000.0,-408.99997,53.888214,-315.29855,-471.74387,1000.0,10.044587135314941,21.101581573486328,135000,59.61433792114258,,26
-373.47058,43.09144,-319.11758,-424.51382,1000.0,-417.68173,60.588154,-315.91302,-506.53296,1000.0,3.5993738174438477,23.88563346862793,140000,61.76423120498657,,27
-427.02768,18.979012,-401.40027,-446.75015,1000.0,-401.32455,48.821854,-323.32098,-452.12323,1000.0,1.8959242105484009,13.908286094665527,145000,63.91971564292908,,28
-392.33813,73.02578,-331.04507,-494.9674,1000.0,-414.49628,65.24624,-333.71106,-513.34357,1000.0,-7.987618923187256,26.972715377807617,150000,66.07692170143127,,29
-340.78287,4.1925697,-336.06403,-346.25128,1000.0,-378.21475,26.535936,-328.73962,-403.22906,1000.0,6.176184177398682,19.192596435546875,155000,68.26879119873047,,30
-541.1591,97.19266,-406.25027,-631.4023,1000.0,-405.93967,26.288246,-371.97998,-443.11935,1000.0,-2.250201463699341,27.007713317871094,160000,70.49413347244263,,31
-414.17807,56.879948,-334.66992,-464.50742,1000.0,-359.56097,40.61139,-315.43875,-419.32968,1000.0,4.423967361450195,20.487184524536133,165000,72.69418358802795,,32
-401.1829,140.83156,-263.55774,-594.6742,1000.0,-362.8881,38.034462,-299.8791,-417.08163,1000.0,-0.05672341212630272,27.592138290405273,170000,74.900141954422,,33
