Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-803.6419,22.594204,-785.2936,-835.4712,1000.0,-663.4329,39.396614,-609.8681,-723.6936,1000.0,-111.75882720947266,5000,2.1985182762145996,-663.4329,0
-837.33527,26.46674,-808.1631,-872.2307,1000.0,-745.5065,21.845833,-715.0768,-777.22424,1000.0,-125.25037384033203,10000,4.596666574478149,,1
-779.7817,57.27247,-733.5926,-860.49677,1000.0,-792.31287,55.99441,-715.767,-879.55896,1000.0,-131.02774047851562,15000,6.7395758628845215,,2
-890.2715,82.55341,-787.68884,-989.83496,1000.0,-947.3903,133.89333,-735.9756,-1150.6234,1000.0,-155.75912475585938,20000,8.98607325553894,,3
-1042.757,48.301086,-1004.69977,-1110.9102,1000.0,-956.7261,59.74626,-852.6913,-1020.2492,1000.0,-156.719482421875,25000,11.203632354736328,,4
-1014.8581,37.574272,-975.58215,-1065.4927,1000.0,-1013.3688,46.545956,-958.0272,-1068.4125,1000.0,-166.696044921875,30000,13.429248332977295,,5
-1065.1482,43.85869,-1020.86896,-1124.9028,1000.0,-1020.06775,60.785656,-941.3233,-1108.1908,1000.0,-164.7984161376953,35000,15.615110874176025,,6
-1137.7904,78.58245,-1076.5881,-1248.7253,1000.0,-1087.3801,94.20008,-935.1006,-1197.0725,1000.0,-176.7559051513672,40000,17.806318044662476,,7
-1151.0481,17.531004,-1128.6643,-1171.4719,1000.0,-1053.8958,51.7407,-973.5751,-1135.2231,1000.0,-171.15338134765625,45000,20.02833080291748,,8
-1215.0669,93.10302,-1144.3982,-1346.613,1000.0,-1153.6923,71.81202,-1021.38007,-1240.8403,1000.0,-185.84288024902344,50000,22.252562761306763,,9
-1180.9712,52.854263,-1111.2251,-1239.1245,1000.0,-1231.1887,77.84068,-1124.6658,-1334.7969,1000.0,-198.70883178710938,55000,24.434077739715576,,10
-1295.4126,67.99105,-1212.5894,-1379.1256,1000.0,-1193.516,72.20073,-1051.2224,-1245.0072,1000.0,-192.28253173828125,60000,26.662102460861206,,11
-1158.1442,19.120634,-1135.6998,-1182.4272,1000.0,-1217.1359,87.39882,-1132.2075,-1386.2352,1000.0,-194.20449829101562,65000,28.892847537994385,,12
-1095.4518,27.304722,-1056.8418,-1115.2753,1000.0,-1162.681,32.889336,-1114.6709,-1207.7974,1000.0,-184.7215576171875,70000,31.116416215896606,,13
-1065.5905,53.029995,-1005.5142,-1134.5054,1000.0,-1176.8347,91.96529,-1033.9764,-1274.8694,1000.0,-186.56724548339844,75000,33.33064532279968,,14
-973.1972,51.48731,-901.5796,-1020.3904,1000.0,-1130.1604,47.97275,-1052.6521,-1174.276,1000.0,-178.0819854736328,80000,35.533273220062256,,15
-942.9046,24.42613,-924.4147,-977.419,1000.0,-1015.5719,97.16835,-936.3166,-1200.3801,1000.0,-161.04026794433594,85000,37.72464609146118,,16
-938.88727,34.93188,-890.9763,-973.2715,1000.0,-941.80536,39.98739,-903.6974,-1017.10645,1000.0,-146.93821716308594,90000,39.91921353340149,,17
-930.3933,46.649754,-890.1771,-995.7926,1000.0,-947.68964,83.80541,-835.083,-1085.227,1000.0,-147.57289123535156,95000,42.13531732559204,,18
-884.9038,52.427284,-811.58484,-931.11194,1000.0,-967.76483,75.02319,-872.04407,-1081.5009,1000.0,-149.5337677001953,100000,44.296959400177,,19
-846.3525,53.13807,-773.95233,-899.9924,1000.0,-915.141,96.29582,-826.2158,-1100.0698,1000.0,-141.42066955566406,105000,46.452322244644165,,20
-852.98145,108.357704,-774.1987,-1006.20184,1000.0,-871.81134,93.56885,-768.0685,-1034.0103,1000.0,-134.9794158935547,110000,48.68544888496399,,21
-813.5922,61.51279,-757.8301,-899.2978,1000.0,-790.9159,72.414734,-722.92896,-924.82996,1000.0,-121.93585968017578,115000,50.901036977767944,,22
