Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,Train_AverageReturn,Train_StdReturn,Train_MaxReturn,Train_MinReturn,Train_AverageEpLen,Actor Loss,Baseline Loss,Train_EnvstepsSoFar,TimeSinceStart,Initial_DataCollection_AverageReturn,step
-207.60011,131.86713,5.557541,-481.13254,94.31818181818181,-190.73363,111.08893,11.184982,-494.7254,95.66666666666667,-98.11875915527344,12196.330078125,2009,8.821756362915039,-190.73363,0
-194.71957,99.40366,-58.82971,-422.52567,92.1304347826087,-261.16254,159.52003,-68.0636,-562.9053,92.52173913043478,-136.353759765625,24336.17578125,4137,18.679246425628662,,1
-173.75365,114.46727,6.9495316,-424.53818,94.9090909090909,-152.51872,91.678795,-70.81506,-420.71286,91.04545454545455,-73.39895629882812,7423.83740234375,6140,27.920831441879272,,2
-151.33006,95.959854,7.8072586,-378.5266,92.22727272727273,-187.64908,103.736885,-31.419395,-468.26794,91.31818181818181,-87.07905578613281,10180.9970703125,8149,36.746341705322266,,3
-129.34639,94.781494,-19.964905,-437.641,91.4090909090909,-156.9468,91.6649,-47.495766,-406.57935,91.13636363636364,-69.259521484375,7318.1650390625,10154,45.30763649940491,,4
-163.75308,118.31288,12.068832,-423.65564,96.23809523809524,-124.22375,52.804863,-5.775215,-193.52243,95.85714285714286,-44.73857498168945,2729.724609375,12167,53.60317087173462,,5
-131.4875,74.66648,-13.800186,-380.80228,95.57142857142857,-164.40154,87.340126,-63.560852,-348.9556,91.36363636363636,-70.4153060913086,6976.14599609375,14177,61.6384756565094,,6
-148.30038,74.67803,-58.436684,-374.5773,96.04545454545455,-182.63403,107.952194,-62.22931,-457.918,94.13636363636364,-75.42924499511719,8910.01171875,16248,69.94111490249634,,7
-128.33784,83.09029,-1.8662109,-359.9214,96.28571428571429,-105.24627,32.84735,-39.374557,-210.6977,88.33333333333333,-31.911535263061523,1469.76513671875,18368,77.64616394042969,,8
-96.72862,71.795715,77.9353,-197.47922,165.07142857142858,-115.78123,63.946915,-48.66842,-327.41376,96.19047619047619,-31.1953125,2305.748779296875,20388,89.19016766548157,,9
-120.135544,70.67993,-10.794922,-320.51334,96.9047619047619,-135.76405,77.979965,1.0888214,-327.6376,94.77272727272727,-43.673091888427734,4073.2119140625,22473,97.64090037345886,,10
-120.587585,55.11007,-19.497065,-223.04816,106.1,-117.18076,77.613914,17.535576,-308.66754,101.3,-23.896760940551758,2999.661376953125,24499,107.4158399105072,,11
-119.63827,53.92376,-48.117477,-227.74094,103.75,-155.21815,82.18054,-65.53375,-370.04132,104.3,-43.14668273925781,3971.615966796875,26585,116.52257990837097,,12
-137.4074,74.10324,-32.08307,-365.57938,114.83333333333333,-170.37454,103.37101,-56.00471,-361.85883,109.63157894736842,-47.503814697265625,5927.7451171875,28668,126.8231852054596,,13
-123.83501,69.20879,-2.9612389,-301.92526,104.0,-142.1494,78.951836,-21.793297,-317.1876,118.05882352941177,-27.003503799438477,2722.377685546875,30675,136.86032629013062,,14
-152.51736,96.45885,-61.915646,-478.35968,106.15789473684211,-125.85421,59.584435,2.4829407,-261.50085,115.0,-17.603271484375,1687.4591064453125,32745,148.50014853477478,,15
-183.40202,107.627625,6.2473373,-378.285,112.22222222222223,-117.9632,65.17857,-22.749115,-317.47562,122.3529411764706,-13.096691131591797,1914.13427734375,34825,160.35318851470947,,16
-149.6348,71.636,-45.46376,-268.83963,124.3529411764706,-143.58347,96.74796,32.273346,-301.55533,118.17647058823529,-20.962724685668945,3830.4892578125,36834,173.31316351890564,,17
