Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
37.9,12.668465,70.0,24.0,37.9,0,,,,,,,,
,,,,,51,52.0,52,,,,,,
,,,,,69,18.0,18,,,,,,
,,,,,80,11.0,11,,,,,,
,,,,,96,16.0,16,,,,,,
,,,,,110,14.0,14,,,,,,
,,,,,122,12.0,12,,,,,,
,,,,,138,16.0,16,,,,,,
,,,,,156,18.0,18,,,,,,
,,,,,187,31.0,31,,,,,,
,,,,,212,25.0,25,,,,,,
,,,,,229,17.0,17,,,,,,
,,,,,250,21.0,21,,,,,,
,,,,,267,17.0,17,,,,,,
,,,,,287,20.0,20,,,,,,
,,,,,301,14.0,14,,,,,,
,,,,,315,14.0,14,,,,,,
,,,,,336,21.0,21,,,,,,
,,,,,348,12.0,12,,,,,,
,,,,,360,12.0,12,,,,,,
,,,,,379,19.0,19,,,,,,
,,,,,392,13.0,13,,,,,,
,,,,,410,18.0,18,,,,,,
,,,,,424,14.0,14,,,,,,
,,,,,439,15.0,15,,,,,,
,,,,,457,18.0,18,,,,,,
,,,,,484,27.0,27,,,,,,
,,,,,499,15.0,15,,,,,,
,,,,,520,21.0,21,,,,,,
,,,,,534,14.0,14,,,,,,
,,,,,574,40.0,40,,,,,,
,,,,,604,30.0,30,,,,,,
,,,,,617,13.0,13,,,,,,
,,,,,630,13.0,13,,,,,,
,,,,,651,21.0,21,,,,,,
,,,,,665,14.0,14,,,,,,
,,,,,696,31.0,31,,,,,,
,,,,,754,58.0,58,,,,,,
,,,,,768,14.0,14,,,,,,
,,,,,785,17.0,17,,,,,,
,,,,,821,36.0,36,,,,,,
,,,,,835,14.0,14,,,,,,
,,,,,852,17.0,17,,,,,,
,,,,,866,14.0,14,,,,,,
,,,,,881,15.0,15,,,,,,
,,,,,917,36.0,36,,,,,,
,,,,,927,10.0,10,,,,,,
,,,,,948,21.0,21,,,,,,
,,,,,965,17.0,17,,,,,,
,,,,,979,14.0,14,,,,,,
,,,,,1000,,,1.0774527788162231,0.0733148455619812,1.106818675994873,2.7932350635528564,0.97,0.0005
,,,,,1001,22.0,22,,,,,,
,,,,,1019,18.0,18,,,,,,
,,,,,1028,9.0,9,,,,,,
,,,,,1050,22.0,22,,,,,,
,,,,,1073,23.0,23,,,,,,
,,,,,1147,74.0,74,,,,,,
,,,,,1162,15.0,15,,,,,,
,,,,,1177,15.0,15,,,,,,
,,,,,1206,29.0,29,,,,,,
,,,,,1218,12.0,12,,,,,,
,,,,,1235,17.0,17,,,,,,
,,,,,1263,28.0,28,,,,,,
,,,,,1311,48.0,48,,,,,,
,,,,,1325,14.0,14,,,,,,
,,,,,1357,32.0,32,,,,,,
,,,,,1391,34.0,34,,,,,,
,,,,,1412,21.0,21,,,,,,
,,,,,1432,20.0,20,,,,,,
,,,,,1470,38.0,38,,,,,,
,,,,,1502,32.0,32,,,,,,
,,,,,1523,21.0,21,,,,,,
,,,,,1562,39.0,39,,,,,,
,,,,,1581,19.0,19,,,,,,
,,,,,1601,20.0,20,,,,,,
,,,,,1617,16.0,16,,,,,,
,,,,,1632,15.0,15,,,,,,
,,,,,1645,13.0,13,,,,,,
,,,,,1659,14.0,14,,,,,,
