Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
-290.15475,107.64237,-137.56752,-483.00415,1000.0,0,,,,,,,,,,,,
,,,,,999,-377.14078,1000,,,,,,,,,,
,,,,,1999,-210.99591,1000,,,,,,,,,,
,,,,,2999,-284.01926,1000,,,,,,,,,,
,,,,,3999,-294.817,1000,,,,,,,,,,
,,,,,4999,-260.12985,1000,,,,,,,,,,
-257.6513,60.435444,-141.23734,-341.32016,1000.0,5000,,,,,,,,,,,,
,,,,,5999,-197.52773,1000,,,,,,,,,,
,,,,,6999,-332.96127,1000,,,,,,,,,,
,,,,,7999,-368.45685,1000,,,,,,,,,,
,,,,,8999,-175.20251,1000,,,,,,,,,,
,,,,,9999,-271.98068,1000,,,,,,,,,,
-262.34637,94.73492,-140.67168,-446.3075,1000.0,10000,,,-0.37436747550964355,3.7933225631713867,0.4327423870563507,-0.014780852012336254,0.08289483189582825,0.09999999403953552,0.9793322086334229,0.0003,0.0003,0.09999001026153564
,,,,,10999,-235.98875,1000,,,,,,,,,,
,,,,,11000,,,-2.1895344257354736,2.3756561279296875,0.3772974908351898,1.4162652492523193,1.4860689640045166,0.09099792689085007,0.7621673345565796,0.0003,0.0003,0.09098942577838898
,,,,,11999,-258.5885,1000,,,,,,,,,,
,,,,,12000,,,-2.9746787548065186,2.7639036178588867,0.6163126230239868,2.498552083969116,2.508831262588501,0.08259090781211853,0.7238186597824097,0.0003,0.0003,0.082582987844944
,,,,,12999,-227.64366,1000,,,,,,,,,,
,,,,,13000,,,-4.261058330535889,2.0685181617736816,0.5728874206542969,3.634483814239502,3.6623551845550537,0.075583815574646,0.6098494529724121,0.0003,0.0003,0.0755772590637207
,,,,,13999,-228.47678,1000,,,,,,,,,,
,,,,,14000,,,-6.658260822296143,1.0640636682510376,0.49904921650886536,5.8738226890563965,5.925057888031006,0.06941408663988113,0.4903455078601837,0.0003,0.0003,0.06940822303295135
,,,,,14999,-102.718796,1000,,,,,,,,,,
-42.47798,24.068436,-0.44759125,-74.30853,1000.0,15000,,,-8.635188102722168,0.8912996649742126,0.497294157743454,7.673642158508301,7.729937553405762,0.06374943256378174,0.43931645154953003,0.0003,0.0003,0.06374388933181763
,,,,,15999,-41.573383,1000,,,,,,,,,,
,,,,,16000,,,-10.850809097290039,0.6443606019020081,0.44844764471054077,10.08561897277832,9.966703414916992,0.05848746746778488,0.3886118531227112,0.0003,0.0003,0.0584823377430439
,,,,,16999,122.75259,1000,,,,,,,,,,
,,,,,17000,,,-11.73112964630127,0.6090841293334961,0.40384307503700256,11.051558494567871,11.02820873260498,0.05362522602081299,0.35441362857818604,0.0003,0.0003,0.05362054705619812
,,,,,17999,185.11116,1000,,,,,,,,,,
,,,,,18000,,,-12.93755054473877,0.001453794538974762,0.41458219289779663,12.27639102935791,12.438004493713379,0.04920525848865509,0.295303076505661,0.0003,0.0003,0.049201130867004395
,,,,,18999,268.44833,1000,,,,,,,,,,
,,,,,19000,,,-15.127144813537598,-0.8557825684547424,0.35053354501724243,14.43136978149414,14.500630378723145,0.04526475816965103,0.2328517585992813,0.0003,0.0003,0.045261140912771225
,,,,,19999,1050.431,1000,,,,,,,,,,
1038.0095,168.24236,1172.4441,619.4567,1000.0,20000,,,-16.04171371459961,-1.6907553672790527,0.4511178731918335,15.243941307067871,15.280097961425781,0.04181591421365738,0.18019501864910126,0.0003,0.0003,0.04181275516748428
,,,,,20999,545.4799,1000,,,,,,,,,,
,,,,,21000,,,-20.5865421295166,-2.3139724731445312,0.5055024027824402,19.686437606811523,19.807376861572266,0.03881995752453804,0.14309142529964447,0.0003,0.0003,0.03881709650158882
,,,,,21999,1089.8384,1000,,,,,,,,,,
,,,,,22000,,,-22.13266372680664,-2.6188273429870605,0.47693467140197754,21.390548706054688,21.310274124145508,0.036028265953063965,0.12181778997182846,0.0003,0.0003,0.03602546453475952
,,,,,22999,410.1902,1000,,,,,,,,,,
,,,,,23000,,,-23.86174964904785,-2.904921054840088,0.49846625328063965,23.069047927856445,23.02041244506836,0.033392056822776794,0.10335105657577515,0.0003,0.0003,0.033389437943696976
,,,,,23999,729.9545,1000,,,,,,,,,,
,,,,,24000,,,-26.555051803588867,-2.953172445297241,0.6441433429718018,25.80548095703125,25.698314666748047,0.03084735758602619,0.09398658573627472,0.0003,0.0003,0.030844923108816147
,,,,,24999,895.67206,1000,,,,,,,,,,
836.0128,272.34772,1421.6886,447.05762,1000.0,25000,,,-33.240562438964844,-3.7165989875793457,0.47246721386909485,32.30208969116211,32.406822204589844,0.028496218845248222,0.06506829708814621,0.0003,0.0003,0.02849411964416504
,,,,,25999,1294.9277,1000,,,,,,,,,,
,,,,,26000,,,-35.23143005371094,-4.067389965057373,0.741281270980835,34.37516784667969,34.37897491455078,0.026472974568605423,0.05116194114089012,0.0003,0.0003,0.026471087709069252
,,,,,26999,846.9686,1000,,,,,,,,,,
,,,,,27000,,,-38.0926513671875,-4.150017261505127,0.5103447437286377,37.345611572265625,37.28249740600586,0.024690255522727966,0.04567654803395271,0.0003,0.0003,0.024688435718417168
,,,,,27999,1579.4369,1000,,,,,,,,,,
,,,,,28000,,,-38.408653259277344,-4.75533390045166,0.5486382246017456,37.4271240234375,37.47333526611328,0.023104995489120483,0.02875799871981144,0.0003,0.0003,0.02310348115861416
,,,,,28999,1711.8354,1000,,,,,,,,,,
,,,,,29000,,,-46.99483108520508,-4.841925621032715,0.7136193513870239,46.31048583984375,46.078147888183594,0.021894175559282303,0.025355083867907524,0.0003,0.0003,0.021893054246902466
,,,,,29999,1921.7693,1000,,,,,,,,,,
1876.3832,33.909042,1936.5354,1818.5925,1000.0,30000,,,-53.339839935302734,-4.987276554107666,0.583496630191803,52.40794372558594,52.311885833740234,0.02095535583794117,0.02122197300195694,0.0003,0.0003,0.020954256877303123
,,,,,30999,2022.9464,1000,,,,,,,,,,
,,,,,31000,,,-58.89928436279297,-6.253966808319092,0.5163939595222473,57.754844665527344,57.86214828491211,0.020522672683000565,-0.005212076008319855,0.0003,0.0003,0.02052248828113079
,,,,,31999,2132.0447,1000,,,,,,,,,,
,,,,,32000,,,-61.75770950317383,-6.143504619598389,0.604723334312439,60.62897491455078,60.77191162109375,0.020706070587038994,-0.0029714161064475775,0.0003,0.0003,0.020706528797745705
,,,,,32999,2159.8503,1000,,,,,,,,,,
