Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
-218.38005,75.11627,-80.68607,-331.58328,1000.0,0,,,,,,,,,,
,,,,,999,-154.7197,1000,,,,,,,,
,,,,,1999,-250.89401,1000,,,,,,,,
,,,,,2999,-426.01675,1000,,,,,,,,
,,,,,3999,-307.31827,1000,,,,,,,,
,,,,,4999,-390.74274,1000,,,,,,,,
-264.17142,79.41389,-121.35012,-371.4668,1000.0,5000,,,,,,,,,,
,,,,,5999,-203.24257,1000,,,,,,,,
,,,,,6999,-240.89984,1000,,,,,,,,
,,,,,7999,-276.21323,1000,,,,,,,,
,,,,,8999,-186.08417,1000,,,,,,,,
,,,,,9999,-183.54823,1000,,,,,,,,
-252.18393,77.44003,-127.4575,-381.318,1000.0,10000,,,-0.3753224015235901,3.8176867961883545,0.4656965136528015,-0.020359279587864876,0.09703508764505386,0.0003,0.0003,0.1
,,,,,10999,-188.488,1000,,,,,,,,
,,,,,11000,,,-2.384625196456909,2.2600221633911133,0.38388264179229736,1.6018942594528198,1.7171813249588013,0.0003,0.0003,0.1
,,,,,11999,-238.91359,1000,,,,,,,,
,,,,,12000,,,-3.447793483734131,3.03989577293396,0.6040542721748352,2.9377756118774414,3.0017175674438477,0.0003,0.0003,0.1
,,,,,12999,-227.84459,1000,,,,,,,,
,,,,,13000,,,-5.274735927581787,2.6862950325012207,0.8257500529289246,4.652541160583496,4.646859645843506,0.0003,0.0003,0.1
,,,,,13999,-203.5041,1000,,,,,,,,
,,,,,14000,,,-7.26708459854126,2.2428722381591797,0.6577957272529602,6.556661605834961,6.501242637634277,0.0003,0.0003,0.1
,,,,,14999,-155.24843,1000,,,,,,,,
-188.21527,26.565443,-128.82635,-218.7948,1000.0,15000,,,-9.294678688049316,2.3061020374298096,0.6748231649398804,8.402033805847168,8.470467567443848,0.0003,0.0003,0.1
,,,,,15999,-166.70212,1000,,,,,,,,
,,,,,16000,,,-11.406632423400879,2.1789281368255615,0.6591287851333618,10.588693618774414,10.62398910522461,0.0003,0.0003,0.1
,,,,,16999,-115.17352,1000,,,,,,,,
,,,,,17000,,,-12.956846237182617,2.19645619392395,0.3942948579788208,12.131803512573242,12.21381950378418,0.0003,0.0003,0.1
,,,,,17999,-121.70679,1000,,,,,,,,
,,,,,18000,,,-14.097001075744629,2.257297992706299,0.3867346942424774,13.22740364074707,13.25256061553955,0.0003,0.0003,0.1
,,,,,18999,-78.44814,1000,,,,,,,,
,,,,,19000,,,-16.062536239624023,2.160166025161743,0.3934442400932312,15.411100387573242,15.444113731384277,0.0003,0.0003,0.1
,,,,,19999,6.742405,1000,,,,,,,,
26.97409,39.435898,121.60317,-24.478659,1000.0,20000,,,-16.98458480834961,2.3156793117523193,0.39143383502960205,16.16729164123535,16.231414794921875,0.0003,0.0003,0.1
,,,,,20999,92.353546,1000,,,,,,,,
,,,,,21000,,,-19.32805824279785,1.9501237869262695,0.4284276068210602,18.5596981048584,18.62639808654785,0.0003,0.0003,0.1
,,,,,21999,462.98172,1000,,,,,,,,
,,,,,22000,,,-22.84311294555664,1.669490098953247,0.4042210280895233,22.017349243164062,22.0344181060791,0.0003,0.0003,0.1
,,,,,22999,434.03217,1000,,,,,,,,
,,,,,23000,,,-21.938791275024414,1.438852310180664,0.416573166847229,21.338369369506836,21.378759384155273,0.0003,0.0003,0.1
,,,,,23999,527.112,1000,,,,,,,,
,,,,,24000,,,-24.306570053100586,1.0686707496643066,0.40127676725387573,23.464433670043945,23.434720993041992,0.0003,0.0003,0.1
,,,,,24999,714.27344,1000,,,,,,,,
726.55164,157.2592,937.0585,508.7988,1000.0,25000,,,-28.857091903686523,0.8629595041275024,0.5011066198348999,27.968294143676758,27.839414596557617,0.0003,0.0003,0.1
,,,,,25999,719.78503,1000,,,,,,,,
,,,,,26000,,,-30.75933074951172,0.6668426990509033,0.4700632095336914,30.054893493652344,29.931968688964844,0.0003,0.0003,0.1
,,,,,26999,1004.2559,1000,,,,,,,,
,,,,,27000,,,-33.15046691894531,0.8956636190414429,0.4076111614704132,32.33803939819336,32.31236267089844,0.0003,0.0003,0.1
,,,,,27999,1112.0428,1000,,,,,,,,
,,,,,28000,,,-34.87495803833008,0.8225591778755188,0.4630690813064575,34.0820198059082,34.085994720458984,0.0003,0.0003,0.1
,,,,,28999,1241.882,1000,,,,,,,,
,,,,,29000,,,-39.98833465576172,0.7978240251541138,0.4789789915084839,39.108245849609375,39.1056022644043,0.0003,0.0003,0.1
