Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
15.198517,5.8245916,31.192907,8.476403,18.2,0,,,,,,,,,,
,,,,,16,14.354487,17,,,,,,,,
,,,,,26,7.59628,10,,,,,,,,
,,,,,41,10.914816,15,,,,,,,,
,,,,,72,25.005688,31,,,,,,,,
,,,,,87,11.083353,15,,,,,,,,
,,,,,102,8.470246,15,,,,,,,,
,,,,,131,22.451197,29,,,,,,,,
,,,,,160,13.164803,29,,,,,,,,
,,,,,183,19.794271,23,,,,,,,,
,,,,,199,12.5089,16,,,,,,,,
,,,,,211,10.448998,12,,,,,,,,
,,,,,265,69.058136,54,,,,,,,,
,,,,,279,10.412099,14,,,,,,,,
,,,,,294,8.829541,15,,,,,,,,
,,,,,339,52.584328,45,,,,,,,,
,,,,,387,52.200825,48,,,,,,,,
,,,,,409,9.879481,22,,,,,,,,
,,,,,420,8.602605,11,,,,,,,,
,,,,,434,13.119268,14,,,,,,,,
,,,,,458,21.804619,24,,,,,,,,
,,,,,475,11.43482,17,,,,,,,,
,,,,,501,11.609768,26,,,,,,,,
,,,,,519,17.525503,18,,,,,,,,
,,,,,547,18.483809,28,,,,,,,,
,,,,,566,8.503132,19,,,,,,,,
,,,,,580,5.6989174,14,,,,,,,,
,,,,,592,10.106812,12,,,,,,,,
,,,,,618,25.381725,26,,,,,,,,
,,,,,634,9.879562,16,,,,,,,,
,,,,,656,16.529902,22,,,,,,,,
,,,,,678,10.523509,22,,,,,,,,
,,,,,695,10.89633,17,,,,,,,,
,,,,,705,7.774611,10,,,,,,,,
,,,,,736,21.232655,31,,,,,,,,
,,,,,751,10.3452215,15,,,,,,,,
,,,,,767,10.69684,16,,,,,,,,
,,,,,787,18.923023,20,,,,,,,,
,,,,,801,12.09275,14,,,,,,,,
,,,,,856,49.521725,55,,,,,,,,
,,,,,878,9.429205,22,,,,,,,,
,,,,,899,15.506078,21,,,,,,,,
,,,,,921,25.554056,22,,,,,,,,
,,,,,930,6.699578,9,,,,,,,,
,,,,,962,13.384288,32,,,,,,,,
,,,,,988,17.326843,26,,,,,,,,
,,,,,1001,9.54023,13,,,,,,,,
,,,,,1017,12.746661,16,,,,,,,,
,,,,,1029,7.855494,12,,,,,,,,
,,,,,1041,9.151295,12,,,,,,,,
,,,,,1055,6.7662745,14,,,,,,,,
,,,,,1079,16.096079,24,,,,,,,,
,,,,,1101,13.760467,22,,,,,,,,
,,,,,1119,9.407369,18,,,,,,,,
,,,,,1142,28.672802,23,,,,,,,,
,,,,,1154,9.104347,12,,,,,,,,
,,,,,1163,5.849847,9,,,,,,,,
,,,,,1218,46.261017,55,,,,,,,,
,,,,,1230,4.8533115,12,,,,,,,,
,,,,,1248,10.649073,18,,,,,,,,
,,,,,1354,198.8308,106,,,,,,,,
,,,,,1387,32.39593,33,,,,,,,,
,,,,,1397,7.0933695,10,,,,,,,,
,,,,,1413,15.522094,16,,,,,,,,
,,,,,1434,10.718716,21,,,,,,,,
,,,,,1450,10.103199,16,,,,,,,,
,,,,,1464,11.12385,14,,,,,,,,
,,,,,1476,9.217293,12,,,,,,,,
,,,,,1499,14.053571,23,,,,,,,,
,,,,,1527,26.59626,28,,,,,,,,
,,,,,1549,16.50871,22,,,,,,,,
,,,,,1572,20.825777,23,,,,,,,,
,,,,,1623,34.588024,51,,,,,,,,
,,,,,1644,11.653714,21,,,,,,,,
,,,,,1653,7.001708,9,,,,,,,,
,,,,,1672,15.245722,19,,,,,,,,
,,,,,1687,11.858452,15,,,,,,,,
,,,,,1700,10.012301,13,,,,,,,,
,,,,,1727,16.191544,27,,,,,,,,
,,,,,1739,9.448373,12,,,,,,,,
,,,,,1752,11.53355,13,,,,,,,,
,,,,,1766,7.9576163,14,,,,,,,,
,,,,,1795,11.9571495,29,,,,,,,,
,,,,,1807,9.340897,12,,,,,,,,
,,,,,1817,7.5524855,10,,,,,,,,
,,,,,1864,49.601295,47,,,,,,,,
,,,,,1879,11.975408,15,,,,,,,,
,,,,,1887,5.398077,8,,,,,,,,
,,,,,1896,4.280251,9,,,,,,,,
,,,,,1967,122.70775,71,,,,,,,,
,,,,,1979,8.918757,12,,,,,,,,
,,,,,2010,24.09136,31,,,,,,,,
,,,,,2047,27.72727,37,,,,,,,,
,,,,,2072,30.451803,25,,,,,,,,
,,,,,2086,10.934962,14,,,,,,,,
,,,,,2096,7.184507,10,,,,,,,,
,,,,,2108,8.283942,12,,,,,,,,
,,,,,2126,10.88617,18,,,,,,,,
,,,,,2161,22.087116,35,,,,,,,,
,,,,,2177,13.769521,16,,,,,,,,
,,,,,2192,15.461887,15,,,,,,,,
,,,,,2229,33.761276,37,,,,,,,,
,,,,,2249,18.63291,20,,,,,,,,
,,,,,2288,50.40538,39,,,,,,,,
,,,,,2297,7.4061437,9,,,,,,,,
,,,,,2327,13.045937,30,,,,,,,,
,,,,,2344,15.26296,17,,,,,,,,
,,,,,2370,11.660938,26,,,,,,,,
,,,,,2399,19.880405,29,,,,,,,,
,,,,,2410,10.921717,11,,,,,,,,
,,,,,2423,8.495888,13,,,,,,,,
,,,,,2439,8.744109,16,,,,,,,,
,,,,,2457,16.40176,18,,,,,,,,
,,,,,2467,3.888637,10,,,,,,,,
,,,,,2480,9.96849,13,,,,,,,,
,,,,,2494,9.470859,14,,,,,,,,
,,,,,2503,6.2331667,9,,,,,,,,
,,,,,2516,10.922134,13,,,,,,,,
,,,,,2545,16.608265,29,,,,,,,,
,,,,,2563,9.014531,18,,,,,,,,
,,,,,2578,14.357251,15,,,,,,,,
,,,,,2616,55.94999,38,,,,,,,,
,,,,,2643,29.455006,27,,,,,,,,
,,,,,2669,24.774067,26,,,,,,,,
,,,,,2695,25.98276,26,,,,,,,,
,,,,,2713,17.53944,18,,,,,,,,
,,,,,2728,12.898122,15,,,,,,,,
,,,,,2747,18.011206,19,,,,,,,,
,,,,,2767,7.5316577,20,,,,,,,,
,,,,,2795,18.182522,28,,,,,,,,
,,,,,2812,13.127462,17,,,,,,,,
,,,,,2828,9.755124,16,,,,,,,,
,,,,,2839,7.2899194,11,,,,,,,,
,,,,,2850,9.547797,11,,,,,,,,
,,,,,2875,9.930265,25,,,,,,,,
,,,,,2893,14.369245,18,,,,,,,,
,,,,,2907,8.574874,14,,,,,,,,
,,,,,2916,7.1913986,9,,,,,,,,
,,,,,2931,8.385295,15,,,,,,,,
,,,,,2939,4.846204,8,,,,,,,,
,,,,,2969,31.421867,30,,,,,,,,
,,,,,2981,7.692861,12,,,,,,,,
,,,,,3003,11.563464,22,,,,,,,,
,,,,,3041,22.053238,38,,,,,,,,
,,,,,3062,19.37943,21,,,,,,,,
,,,,,3078,15.864899,16,,,,,,,,
,,,,,3113,26.711477,35,,,,,,,,
,,,,,3142,25.569887,29,,,,,,,,
,,,,,3159,11.118698,17,,,,,,,,
,,,,,3172,11.572446,13,,,,,,,,
,,,,,3185,8.64228,13,,,,,,,,
,,,,,3198,9.642451,13,,,,,,,,
,,,,,3222,21.672953,24,,,,,,,,
