Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
20.044659,17.537523,68.81744,8.695304,19.6,0,,,,,,,,,,
,,,,,10,9.08765,11,,,,,,,,
,,,,,22,9.73792,12,,,,,,,,
,,,,,51,20.163656,29,,,,,,,,
,,,,,68,8.732051,17,,,,,,,,
,,,,,78,8.122281,10,,,,,,,,
,,,,,127,58.63286,49,,,,,,,,
,,,,,142,8.238219,15,,,,,,,,
,,,,,153,6.186156,11,,,,,,,,
,,,,,167,9.923767,14,,,,,,,,
,,,,,184,16.191225,17,,,,,,,,
,,,,,196,11.439908,12,,,,,,,,
,,,,,234,11.627006,38,,,,,,,,
,,,,,249,12.481463,15,,,,,,,,
,,,,,315,79.323494,66,,,,,,,,
,,,,,345,26.155588,30,,,,,,,,
,,,,,372,26.459633,27,,,,,,,,
,,,,,401,22.001198,29,,,,,,,,
,,,,,427,21.291742,26,,,,,,,,
,,,,,445,12.883766,18,,,,,,,,
,,,,,459,12.909078,14,,,,,,,,
,,,,,472,11.6763315,13,,,,,,,,
,,,,,512,59.485725,40,,,,,,,,
,,,,,531,13.390473,19,,,,,,,,
,,,,,546,10.495982,15,,,,,,,,
,,,,,568,9.737132,22,,,,,,,,
,,,,,583,8.300073,15,,,,,,,,
,,,,,610,24.016306,27,,,,,,,,
,,,,,625,9.243371,15,,,,,,,,
,,,,,643,13.083585,18,,,,,,,,
,,,,,656,9.941277,13,,,,,,,,
,,,,,677,20.133493,21,,,,,,,,
,,,,,696,17.857496,19,,,,,,,,
,,,,,710,12.514572,14,,,,,,,,
,,,,,721,8.554607,11,,,,,,,,
,,,,,747,10.181942,26,,,,,,,,
,,,,,757,8.074035,10,,,,,,,,
,,,,,791,28.951532,34,,,,,,,,
,,,,,804,8.822694,13,,,,,,,,
,,,,,867,75.09669,63,,,,,,,,
,,,,,887,20.261965,20,,,,,,,,
,,,,,901,5.6433277,14,,,,,,,,
,,,,,920,18.354431,19,,,,,,,,
,,,,,941,13.732928,21,,,,,,,,
,,,,,952,6.6462135,11,,,,,,,,
,,,,,971,13.921425,19,,,,,,,,
,,,,,990,17.410519,19,,,,,,,,
,,,,,1001,8.90586,11,,,,,,,,
,,,,,1044,27.045395,43,,,,,,,,
,,,,,1059,7.814386,15,,,,,,,,
,,,,,1081,17.416779,22,,,,,,,,
,,,,,1131,42.57559,50,,,,,,,,
,,,,,1143,8.386532,12,,,,,,,,
,,,,,1169,28.925518,26,,,,,,,,
,,,,,1188,9.54532,19,,,,,,,,
,,,,,1197,7.169905,9,,,,,,,,
,,,,,1224,15.691351,27,,,,,,,,
,,,,,1243,18.407871,19,,,,,,,,
,,,,,1254,8.27061,11,,,,,,,,
,,,,,1268,6.262339,14,,,,,,,,
,,,,,1283,12.65841,15,,,,,,,,
,,,,,1294,7.3612957,11,,,,,,,,
,,,,,1311,12.331811,17,,,,,,,,
,,,,,1328,16.876404,17,,,,,,,,
,,,,,1341,8.849454,13,,,,,,,,
,,,,,1362,15.535576,21,,,,,,,,
,,,,,1374,8.386085,12,,,,,,,,
,,,,,1385,8.040553,11,,,,,,,,
,,,,,1396,7.511728,11,,,,,,,,
,,,,,1415,18.039223,19,,,,,,,,
,,,,,1426,5.6942163,11,,,,,,,,
,,,,,1437,7.5336065,11,,,,,,,,
,,,,,1459,20.583473,22,,,,,,,,
,,,,,1491,22.833437,32,,,,,,,,
,,,,,1502,7.07053,11,,,,,,,,
,,,,,1524,13.544189,22,,,,,,,,
,,,,,1539,13.218414,15,,,,,,,,
,,,,,1557,14.219117,18,,,,,,,,
,,,,,1568,8.68042,11,,,,,,,,
,,,,,1583,11.282583,15,,,,,,,,
,,,,,1596,11.75269,13,,,,,,,,
,,,,,1612,10.634566,16,,,,,,,,
,,,,,1637,18.33997,25,,,,,,,,
,,,,,1656,8.9965315,19,,,,,,,,
,,,,,1669,11.357851,13,,,,,,,,
,,,,,1683,9.109293,14,,,,,,,,
,,,,,1716,35.5196,33,,,,,,,,
,,,,,1726,7.1920147,10,,,,,,,,
,,,,,1745,9.320493,19,,,,,,,,
,,,,,1757,6.4401445,12,,,,,,,,
,,,,,1777,9.658788,20,,,,,,,,
,,,,,1793,10.132064,16,,,,,,,,
,,,,,1810,11.301316,17,,,,,,,,
,,,,,1828,13.285912,18,,,,,,,,
,,,,,1874,40.498554,46,,,,,,,,
,,,,,1906,25.75561,32,,,,,,,,
,,,,,1922,8.356579,16,,,,,,,,
,,,,,1938,13.619303,16,,,,,,,,
,,,,,1949,9.190899,11,,,,,,,,
,,,,,1969,16.626043,20,,,,,,,,
,,,,,1982,11.050805,13,,,,,,,,
,,,,,1993,8.393508,11,,,,,,,,
,,,,,2016,13.383516,23,,,,,,,,
,,,,,2039,20.436846,23,,,,,,,,
,,,,,2069,37.063873,30,,,,,,,,
,,,,,2085,10.728714,16,,,,,,,,
,,,,,2095,8.074736,10,,,,,,,,
,,,,,2113,13.308207,18,,,,,,,,
,,,,,2132,9.328771,19,,,,,,,,
,,,,,2210,105.035515,78,,,,,,,,
,,,,,2237,36.40611,27,,,,,,,,
,,,,,2250,9.485864,13,,,,,,,,
,,,,,2268,19.333015,18,,,,,,,,
,,,,,2298,19.690413,30,,,,,,,,
,,,,,2335,9.379183,37,,,,,,,,
,,,,,2422,108.69241,87,,,,,,,,
,,,,,2449,25.389116,27,,,,,,,,
,,,,,2462,10.682332,13,,,,,,,,
,,,,,2486,16.378609,24,,,,,,,,
,,,,,2499,8.438725,13,,,,,,,,
,,,,,2527,10.901529,28,,,,,,,,
,,,,,2539,11.662479,12,,,,,,,,
,,,,,2568,27.21812,29,,,,,,,,
,,,,,2581,12.124415,13,,,,,,,,
,,,,,2604,25.37496,23,,,,,,,,
,,,,,2621,16.953249,17,,,,,,,,
,,,,,2632,8.43855,11,,,,,,,,
,,,,,2650,15.594318,18,,,,,,,,
,,,,,2662,10.924478,12,,,,,,,,
,,,,,2710,47.190025,48,,,,,,,,
,,,,,2725,9.719116,15,,,,,,,,
,,,,,2744,9.737878,19,,,,,,,,
,,,,,2771,28.114775,27,,,,,,,,
,,,,,2799,28.863827,28,,,,,,,,
,,,,,2822,4.479733,23,,,,,,,,
,,,,,2842,15.694853,20,,,,,,,,
,,,,,2860,8.725487,18,,,,,,,,
,,,,,2876,8.7754755,16,,,,,,,,
,,,,,2889,11.188524,13,,,,,,,,
,,,,,2915,23.356607,26,,,,,,,,
,,,,,2946,31.156109,31,,,,,,,,
,,,,,2963,14.111812,17,,,,,,,,
,,,,,2985,30.274544,22,,,,,,,,
,,,,,2996,8.167317,11,,,,,,,,
,,,,,3028,37.9439,32,,,,,,,,
,,,,,3041,5.9167113,13,,,,,,,,
,,,,,3072,35.169968,31,,,,,,,,
,,,,,3091,20.435299,19,,,,,,,,
,,,,,3110,17.00875,19,,,,,,,,
,,,,,3133,11.368342,23,,,,,,,,
,,,,,3152,18.418974,19,,,,,,,,
,,,,,3172,11.327464,20,,,,,,,,
,,,,,3184,10.785903,12,,,,,,,,
,,,,,3210,27.315496,26,,,,,,,,
,,,,,3226,12.237983,16,,,,,,,,
,,,,,3244,10.765916,18,,,,,,,,
,,,,,3264,12.674002,20,,,,,,,,
,,,,,3293,19.423084,29,,,,,,,,
,,,,,3307,12.964431,14,,,,,,,,
,,,,,3323,13.462144,16,,,,,,,,
,,,,,3341,7.077018,18,,,,,,,,
,,,,,3358,10.109803,17,,,,,,,,
,,,,,3374,10.669768,16,,,,,,,,
,,,,,3401,9.299851,27,,,,,,,,
,,,,,3478,104.938034,77,,,,,,,,
