Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,alpha,alpha_loss,actor_lr,critic_lr,temperature
7.4,4.2237425,16.0,3.0,7.4,0,,,,,,,,,,,,
,,,,,14,15.0,15,,,,,,,,,,
,,,,,20,6.0,6,,,,,,,,,,
,,,,,25,5.0,5,,,,,,,,,,
,,,,,31,6.0,6,,,,,,,,,,
,,,,,35,4.0,4,,,,,,,,,,
,,,,,40,5.0,5,,,,,,,,,,
,,,,,45,5.0,5,,,,,,,,,,
,,,,,55,10.0,10,,,,,,,,,,
,,,,,59,4.0,4,,,,,,,,,,
,,,,,69,10.0,10,,,,,,,,,,
,,,,,77,8.0,8,,,,,,,,,,
,,,,,81,4.0,4,,,,,,,,,,
,,,,,90,9.0,9,,,,,,,,,,
,,,,,101,11.0,11,,,,,,,,,,
,,,,,106,5.0,5,,,,,,,,,,
,,,,,113,7.0,7,,,,,,,,,,
,,,,,116,3.0,3,,,,,,,,,,
,,,,,121,5.0,5,,,,,,,,,,
,,,,,124,3.0,3,,,,,,,,,,
,,,,,130,6.0,6,,,,,,,,,,
,,,,,137,7.0,7,,,,,,,,,,
,,,,,143,6.0,6,,,,,,,,,,
,,,,,148,5.0,5,,,,,,,,,,
,,,,,161,13.0,13,,,,,,,,,,
,,,,,171,10.0,10,,,,,,,,,,
,,,,,177,6.0,6,,,,,,,,,,
,,,,,181,4.0,4,,,,,,,,,,
,,,,,184,3.0,3,,,,,,,,,,
,,,,,188,4.0,4,,,,,,,,,,
,,,,,191,3.0,3,,,,,,,,,,
,,,,,196,5.0,5,,,,,,,,,,
,,,,,200,4.0,4,,,,,,,,,,
,,,,,206,6.0,6,,,,,,,,,,
,,,,,211,5.0,5,,,,,,,,,,
,,,,,217,6.0,6,,,,,,,,,,
,,,,,223,6.0,6,,,,,,,,,,
,,,,,229,6.0,6,,,,,,,,,,
,,,,,232,3.0,3,,,,,,,,,,
,,,,,238,6.0,6,,,,,,,,,,
,,,,,246,8.0,8,,,,,,,,,,
,,,,,253,7.0,7,,,,,,,,,,
,,,,,257,4.0,4,,,,,,,,,,
,,,,,261,4.0,4,,,,,,,,,,
,,,,,265,4.0,4,,,,,,,,,,
,,,,,269,4.0,4,,,,,,,,,,
,,,,,279,10.0,10,,,,,,,,,,
,,,,,288,9.0,9,,,,,,,,,,
,,,,,291,3.0,3,,,,,,,,,,
,,,,,295,4.0,4,,,,,,,,,,
,,,,,308,13.0,13,,,,,,,,,,
,,,,,313,5.0,5,,,,,,,,,,
,,,,,317,4.0,4,,,,,,,,,,
,,,,,321,4.0,4,,,,,,,,,,
,,,,,325,4.0,4,,,,,,,,,,
,,,,,331,6.0,6,,,,,,,,,,
,,,,,334,3.0,3,,,,,,,,,,
,,,,,337,3.0,3,,,,,,,,,,
