Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,actor_loss,entropy,critic_loss,q_values,target_values,actor_lr,critic_lr,temperature
6.8,4.0199504,15.0,3.0,6.8,0,,,,,,,,,,
,,,,,3,4.0,4,,,,,,,,
,,,,,7,4.0,4,,,,,,,,
,,,,,10,3.0,3,,,,,,,,
,,,,,14,4.0,4,,,,,,,,
,,,,,17,3.0,3,,,,,,,,
,,,,,23,6.0,6,,,,,,,,
,,,,,27,4.0,4,,,,,,,,
,,,,,31,4.0,4,,,,,,,,
,,,,,39,8.0,8,,,,,,,,
,,,,,42,3.0,3,,,,,,,,
,,,,,57,15.0,15,,,,,,,,
,,,,,62,5.0,5,,,,,,,,
,,,,,71,9.0,9,,,,,,,,
,,,,,80,9.0,9,,,,,,,,
,,,,,84,4.0,4,,,,,,,,
,,,,,96,12.0,12,,,,,,,,
,,,,,99,3.0,3,,,,,,,,
,,,,,107,8.0,8,,,,,,,,
,,,,,115,8.0,8,,,,,,,,
,,,,,120,5.0,5,,,,,,,,
,,,,,124,4.0,4,,,,,,,,
,,,,,128,4.0,4,,,,,,,,
,,,,,131,3.0,3,,,,,,,,
,,,,,140,9.0,9,,,,,,,,
,,,,,145,5.0,5,,,,,,,,
,,,,,152,7.0,7,,,,,,,,
,,,,,156,4.0,4,,,,,,,,
,,,,,160,4.0,4,,,,,,,,
,,,,,164,4.0,4,,,,,,,,
,,,,,170,6.0,6,,,,,,,,
,,,,,173,3.0,3,,,,,,,,
,,,,,180,7.0,7,,,,,,,,
,,,,,183,3.0,3,,,,,,,,
,,,,,188,5.0,5,,,,,,,,
,,,,,192,4.0,4,,,,,,,,
,,,,,196,4.0,4,,,,,,,,
,,,,,204,8.0,8,,,,,,,,
,,,,,212,8.0,8,,,,,,,,
,,,,,216,4.0,4,,,,,,,,
,,,,,222,6.0,6,,,,,,,,
,,,,,230,8.0,8,,,,,,,,
,,,,,233,3.0,3,,,,,,,,
,,,,,240,7.0,7,,,,,,,,
,,,,,244,4.0,4,,,,,,,,
,,,,,248,4.0,4,,,,,,,,
,,,,,258,10.0,10,,,,,,,,
,,,,,261,3.0,3,,,,,,,,
,,,,,275,14.0,14,,,,,,,,
,,,,,279,4.0,4,,,,,,,,
,,,,,283,4.0,4,,,,,,,,
,,,,,286,3.0,3,,,,,,,,
,,,,,289,3.0,3,,,,,,,,
,,,,,297,8.0,8,,,,,,,,
,,,,,306,9.0,9,,,,,,,,
,,,,,310,4.0,4,,,,,,,,
,,,,,314,4.0,4,,,,,,,,
,,,,,317,3.0,3,,,,,,,,
,,,,,324,7.0,7,,,,,,,,
,,,,,330,6.0,6,,,,,,,,
,,,,,336,6.0,6,,,,,,,,
,,,,,341,5.0,5,,,,,,,,
,,,,,348,7.0,7,,,,,,,,
,,,,,353,5.0,5,,,,,,,,
,,,,,356,3.0,3,,,,,,,,
,,,,,359,3.0,3,,,,,,,,
,,,,,364,5.0,5,,,,,,,,
,,,,,367,3.0,3,,,,,,,,
,,,,,370,3.0,3,,,,,,,,
,,,,,376,6.0,6,,,,,,,,
,,,,,387,11.0,11,,,,,,,,
,,,,,392,5.0,5,,,,,,,,
,,,,,395,3.0,3,,,,,,,,
,,,,,400,5.0,5,,,,,,,,
,,,,,406,6.0,6,,,,,,,,
,,,,,409,3.0,3,,,,,,,,
,,,,,414,5.0,5,,,,,,,,
,,,,,432,18.0,18,,,,,,,,
,,,,,438,6.0,6,,,,,,,,
,,,,,443,5.0,5,,,,,,,,
,,,,,453,10.0,10,,,,,,,,
,,,,,456,3.0,3,,,,,,,,
,,,,,459,3.0,3,,,,,,,,
,,,,,462,3.0,3,,,,,,,,
,,,,,465,3.0,3,,,,,,,,
,,,,,471,6.0,6,,,,,,,,
,,,,,475,4.0,4,,,,,,,,
,,,,,480,5.0,5,,,,,,,,
,,,,,494,14.0,14,,,,,,,,
,,,,,498,4.0,4,,,,,,,,
,,,,,501,3.0,3,,,,,,,,
,,,,,507,6.0,6,,,,,,,,
