Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
-733.712,306.47183,-409.05066,-1494.8821,116.3,0,,,,,,,,
,,,,,76,-372.2583,77,,,,,,
,,,,,158,-341.1134,82,,,,,,
,,,,,235,-296.12015,77,,,,,,
,,,,,355,-252.81778,120,,,,,,
,,,,,443,-126.107605,88,,,,,,
,,,,,559,-178.4506,116,,,,,,
,,,,,648,-53.41285,89,,,,,,
,,,,,711,-105.73633,63,,,,,,
,,,,,803,-297.6892,92,,,,,,
,,,,,928,-243.16916,125,,,,,,
,,,,,1024,-102.79261,96,,,,,,
,,,,,1119,-193.62381,95,,,,,,
,,,,,1254,-410.96933,135,,,,,,
,,,,,1345,-395.8292,91,,,,,,
,,,,,2345,95.33747,1000,,,,,,
,,,,,2425,-272.5561,80,,,,,,
,,,,,2531,-353.24316,106,,,,,,
,,,,,2627,-107.967896,96,,,,,,
,,,,,2687,-61.27767,60,,,,,,
,,,,,2776,-333.2558,89,,,,,,
,,,,,2906,-339.23566,130,,,,,,
,,,,,2989,-340.82755,83,,,,,,
,,,,,3073,-319.1463,84,,,,,,
,,,,,3166,-39.920135,93,,,,,,
,,,,,3236,-177.97238,70,,,,,,
,,,,,3311,-175.13068,75,,,,,,
,,,,,3395,-460.18546,84,,,,,,
,,,,,3529,-98.928635,134,,,,,,
,,,,,3600,-56.9242,71,,,,,,
,,,,,3708,-269.1496,108,,,,,,
,,,,,3798,-254.88316,90,,,,,,
,,,,,3919,-96.49904,121,,,,,,
,,,,,3991,-98.57979,72,,,,,,
,,,,,4056,-232.2356,65,,,,,,
,,,,,4150,-307.51788,94,,,,,,
,,,,,4216,-127.594406,66,,,,,,
,,,,,4286,-114.447784,70,,,,,,
,,,,,4397,-420.54358,111,,,,,,
,,,,,4483,-152.4952,86,,,,,,
,,,,,4569,-361.88306,86,,,,,,
,,,,,4670,-422.93243,101,,,,,,
,,,,,4744,-207.72388,74,,,,,,
,,,,,4805,-181.82187,61,,,,,,
,,,,,4875,-121.447174,70,,,,,,
,,,,,5022,-62.788124,147,,,,,,
,,,,,5123,-310.51697,101,,,,,,
,,,,,5198,-177.61789,75,,,,,,
,,,,,5325,-459.20868,127,,,,,,
,,,,,5412,-92.18892,87,,,,,,
,,,,,5554,-140.71375,142,,,,,,
,,,,,5671,-253.85197,117,,,,,,
,,,,,5733,-71.57948,62,,,,,,
,,,,,5797,-124.13521,64,,,,,,
,,,,,5866,-127.55204,69,,,,,,
,,,,,5930,-98.31974,64,,,,,,
,,,,,6001,-170.36829,71,,,,,,
,,,,,6114,-209.18571,113,,,,,,
,,,,,6212,-117.04585,98,,,,,,
,,,,,6286,-88.52057,74,,,,,,
,,,,,6379,-130.66573,93,,,,,,
,,,,,6487,-286.8763,108,,,,,,
,,,,,6573,-87.04599,86,,,,,,
,,,,,6646,-49.97185,73,,,,,,
,,,,,6731,-175.8812,85,,,,,,
,,,,,6844,-439.44006,113,,,,,,
,,,,,6939,-372.31015,95,,,,,,
,,,,,7033,-249.93932,94,,,,,,
,,,,,7125,-44.767746,92,,,,,,
,,,,,7219,-127.72128,94,,,,,,
,,,,,7333,-241.64972,114,,,,,,
,,,,,7420,-408.1933,87,,,,,,
,,,,,7524,-85.13976,104,,,,,,
,,,,,7624,-158.72827,100,,,,,,
,,,,,7735,-440.2673,111,,,,,,
,,,,,7812,-435.18976,77,,,,,,
,,,,,7944,-115.267815,132,,,,,,
,,,,,8007,-143.30312,63,,,,,,
,,,,,8132,-306.63647,125,,,,,,
,,,,,8255,-524.88556,123,,,,,,
,,,,,8362,-108.84364,107,,,,,,
,,,,,8456,-89.661194,94,,,,,,
,,,,,8540,-87.57036,84,,,,,,
,,,,,8622,38.94545,82,,,,,,
,,,,,8715,-134.6096,93,,,,,,
,,,,,8795,-189.73096,80,,,,,,
,,,,,8885,-123.17559,90,,,,,,
,,,,,9016,-111.48874,131,,,,,,
,,,,,9093,-95.0513,77,,,,,,
,,,,,9154,-268.9762,61,,,,,,
,,,,,9243,-108.35791,89,,,,,,
,,,,,9359,-184.88431,116,,,,,,
,,,,,9457,-423.2581,98,,,,,,
,,,,,9564,-347.65027,107,,,,,,
,,,,,9646,-101.16672,82,,,,,,
,,,,,9777,-85.231995,131,,,,,,
,,,,,9878,-101.999825,101,,,,,,
,,,,,9958,-101.85858,80,,,,,,
-819.7282,492.3436,-431.7201,-2145.9536,103.4,10000,,,,,,,,
,,,,,10074,-119.28417,116,,,,,,
,,,,,10179,-353.03882,105,,,,,,
,,,,,10236,-112.634056,57,,,,,,
,,,,,10299,-107.5525,63,,,,,,
,,,,,10420,-386.41922,121,,,,,,
,,,,,10505,-381.42978,85,,,,,,
,,,,,10574,-218.5399,69,,,,,,
,,,,,10692,-172.44714,118,,,,,,
,,,,,10870,-186.58148,178,,,,,,
,,,,,10960,-175.18045,90,,,,,,
,,,,,11058,-163.68198,98,,,,,,
,,,,,11125,-90.62969,67,,,,,,
,,,,,11225,-166.44478,100,,,,,,
,,,,,11315,-518.85034,90,,,,,,
,,,,,11387,-128.72392,72,,,,,,
,,,,,11455,-83.49389,68,,,,,,
,,,,,11522,-99.4324,67,,,,,,
,,,,,11616,-302.47598,94,,,,,,
,,,,,11692,-183.94675,76,,,,,,
,,,,,11810,-104.00353,118,,,,,,
,,,,,11923,-403.90408,113,,,,,,
,,,,,12015,-256.85135,92,,,,,,
,,,,,12081,-59.573967,66,,,,,,
,,,,,12153,-200.45854,72,,,,,,
,,,,,12245,-461.7799,92,,,,,,
,,,,,12309,-85.71765,64,,,,,,
,,,,,12382,-106.383545,73,,,,,,
,,,,,12472,-252.89688,90,,,,,,
,,,,,12536,-88.80708,64,,,,,,
,,,,,12642,-178.99884,106,,,,,,
,,,,,12711,-234.10011,69,,,,,,
,,,,,12809,-90.036545,98,,,,,,
,,,,,12934,-47.352215,125,,,,,,
,,,,,13051,-296.2033,117,,,,,,
,,,,,13131,-106.180695,80,,,,,,
,,,,,13218,-487.46402,87,,,,,,
,,,,,13296,-93.52359,78,,,,,,
,,,,,13375,-95.75534,79,,,,,,
,,,,,13470,-423.83136,95,,,,,,
,,,,,13586,-203.40656,116,,,,,,
,,,,,13703,-355.34332,117,,,,,,
,,,,,13844,-119.73658,141,,,,,,
,,,,,13924,-149.80869,80,,,,,,
,,,,,13994,-121.209015,70,,,,,,
,,,,,14101,-6.1838303,107,,,,,,
,,,,,14174,-135.03961,73,,,,,,
,,,,,14250,-67.35749,76,,,,,,
,,,,,14322,-93.206024,72,,,,,,
,,,,,14398,-98.21659,76,,,,,,
,,,,,14486,-139.9401,88,,,,,,
,,,,,14611,-110.411194,125,,,,,,
,,,,,14737,-104.16315,126,,,,,,
,,,,,14837,-389.72165,100,,,,,,
,,,,,14974,-63.076202,137,,,,,,
,,,,,15051,-102.45458,77,,,,,,
,,,,,15130,-103.14314,79,,,,,,
,,,,,15220,-365.26038,90,,,,,,
,,,,,15337,-365.2919,117,,,,,,
,,,,,15434,-245.7094,97,,,,,,
,,,,,15520,-127.02675,86,,,,,,
,,,,,15627,-95.18827,107,,,,,,
,,,,,15718,-348.9665,91,,,,,,
,,,,,15802,-307.13348,84,,,,,,
,,,,,15874,-127.82303,72,,,,,,
,,,,,15944,-83.04189,70,,,,,,
,,,,,16040,-330.43097,96,,,,,,
,,,,,16117,-108.601295,77,,,,,,
,,,,,16230,-306.06598,113,,,,,,
,,,,,16312,-339.5195,82,,,,,,
,,,,,16409,-210.9094,97,,,,,,
