Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
60.0,0.0,60.0,60.0,1930.0,0,,,,,,,,
,,,,,774,290.0,3114,,,,,,
,,,,,1229,90.0,1826,,,,,,
,,,,,1660,160.0,1754,,,,,,
,,,,,2180,280.0,2106,,,,,,
,,,,,2668,200.0,1970,,,,,,
,,,,,3198,240.0,2122,,,,,,
,,,,,3593,170.0,1586,,,,,,
,,,,,4023,220.0,1722,,,,,,
,,,,,4488,200.0,1890,,,,,,
,,,,,5018,260.0,2146,,,,,,
,,,,,5609,460.0,2386,,,,,,
,,,,,6453,510.0,3386,,,,,,
,,,,,6933,290.0,1946,,,,,,
,,,,,7433,240.0,2010,,,,,,
,,,,,7919,170.0,1954,,,,,,
,,,,,8379,250.0,1842,,,,,,
,,,,,8876,200.0,2010,,,,,,
,,,,,9430,200.0,2218,,,,,,
,,,,,9778,150.0,1410,,,,,,
60.0,0.0,60.0,60.0,1930.0,10000,,,,,,,,
,,,,,10290,280.0,2050,,,,,,
,,,,,10712,180.0,1706,,,,,,
,,,,,11143,200.0,1738,,,,,,
,,,,,11585,170.0,1794,,,,,,
,,,,,12035,190.0,1802,,,,,,
,,,,,12407,200.0,1506,,,,,,
,,,,,13071,330.0,2658,,,,,,
,,,,,13710,320.0,2578,,,,,,
,,,,,14179,220.0,1898,,,,,,
,,,,,14653,280.0,1914,,,,,,
,,,,,15129,180.0,1930,,,,,,
,,,,,15572,220.0,1778,,,,,,
,,,,,16055,230.0,1954,,,,,,
,,,,,16540,230.0,1954,,,,,,
,,,,,16977,220.0,1754,,,,,,
,,,,,17487,330.0,2058,,,,,,
,,,,,17921,250.0,1754,,,,,,
,,,,,18361,230.0,1762,,,,,,
,,,,,18867,250.0,2042,,,,,,
,,,,,19255,170.0,1562,,,,,,
,,,,,19774,170.0,2082,,,,,,
66.0,12.0,90.0,60.0,1926.8,20000,,,3.1456761360168457,-4.479498602449894e-05,0.35653164982795715,0.8806874752044678,1.0,0.0001
,,,,,20105,100.0,1322,,,,,,
,,,,,20669,260.0,2274,,,,,,
,,,,,21000,,,0.5859826803207397,0.729480504989624,-0.023655753582715988,8.03870677947998,0.9979375,0.0001
,,,,,21191,260.0,2114,,,,,,
,,,,,21601,250.0,1650,,,,,,
,,,,,22000,,,5.7462639808654785,0.5629793405532837,0.670450747013092,4.472939491271973,0.995875,0.0001
,,,,,22090,180.0,1970,,,,,,
,,,,,22624,250.0,2154,,,,,,
,,,,,23000,,,2.952418088912964,0.8331968784332275,0.7694375514984131,3.8669004440307617,0.9938125,0.0001
,,,,,23069,230.0,1778,,,,,,
,,,,,23409,100.0,1362,,,,,,
,,,,,23885,280.0,1930,,,,,,
,,,,,24000,,,6.166655540466309,0.739304780960083,1.1493210792541504,5.7850518226623535,0.99175,0.0001
,,,,,24386,210.0,2034,,,,,,
,,,,,24786,170.0,1602,,,,,,
,,,,,25000,,,5.603421211242676,1.408083200454712,1.4868183135986328,9.346330642700195,0.9896875,0.0001
,,,,,25369,230.0,2338,,,,,,
,,,,,25973,310.0,2434,,,,,,
,,,,,26000,,,5.597305774688721,1.5638138055801392,1.7002803087234497,8.041450500488281,0.987625,0.0001
,,,,,26618,230.0,2594,,,,,,
,,,,,27000,,,10.84799575805664,2.0637173652648926,3.0317981243133545,33.65682601928711,0.9855625,0.0001
,,,,,27206,390.0,2378,,,,,,
,,,,,27701,230.0,1986,,,,,,
,,,,,28000,,,8.058797836303711,1.5202704668045044,2.202556610107422,22.5091609954834,0.9835,0.0001
,,,,,28286,350.0,2362,,,,,,
,,,,,28823,250.0,2162,,,,,,
,,,,,29000,,,3.0572187900543213,1.938900351524353,2.025421619415283,11.138195991516113,0.9814375,0.0001
,,,,,29332,250.0,2050,,,,,,
,,,,,29771,270.0,1754,,,,,,
60.0,0.0,60.0,60.0,1930.0,30000,,,5.023584365844727,2.3858165740966797,2.425457715988159,17.509307861328125,0.979375,0.0001
,,,,,30239,220.0,1874,,,,,,
,,,,,30563,90.0,1306,,,,,,
